date,character_class,world_name,dojang_best_floor,date_dojang_record,dojang_best_time,nickname
,카데나,루나,94,2025-04-27T00:00+09:00,889,템퍼
,섀도어,루나,50,2024-02-10T00:00+09:00,826,LoveForce
,데몬슬레이어,엘리시움,67,,897,갱이와
,데몬어벤져,제니스,84,2025-05-18T00:00+09:00,853,오빠안되욤
,비숍,엘리시움,89,2025-02-09T00:00+09:00,857,현종우
,"아크메이지(불,독)",스카니아,66,,874,맛집
,윈드브레이커,엘리시움,82,2024-01-08T00:00+09:00,891,청궁
,비숍,스카니아,93,2025-04-20T00:00+09:00,895,Coxy
,듀얼블레이더,크로아,91,2025-02-23T00:00+09:00,879,광부용hs
,바이퍼,스카니아,86,2025-01-19T00:00+09:00,894,정상
,듀얼블레이더,스카니아,63,2023-07-24T00:00+09:00,654,지누
,히어로,아케인,92,2025-04-07T00:00+09:00,900,기병
,비숍,크로아,66,2022-09-07T00:00+09:00,882,은애
,메르세데스,루나,78,2023-09-18T00:00+09:00,895,메르스
,듀얼블레이더,엘리시움,84,2024-09-08T00:00+09:00,854,마체테
,나이트로드,오로라,78,2023-09-29T00:00+09:00,867,시급
,비숍,엘리시움,78,2023-09-27T00:00+09:00,897,호두맛쵸코
,칼리,베라,0,,0,화나
,카데나,루나,73,2022-08-26T00:00+09:00,899,시드
,보우마스터,스카니아,60,,847,전투
,카이저,루나,83,2024-10-14T00:00+09:00,861,와후
,바이퍼,크로아,80,2024-01-10T00:00+09:00,892,장우혁
,나이트로드,스카니아,90,2025-06-29T00:00+09:00,887,사설
,나이트로드,스카니아,76,2024-04-28T00:00+09:00,888,쏘우
,나이트로드,루나,81,2024-06-13T00:00+09:00,899,운서
,패스파인더,오로라,90,2024-08-03T00:00+09:00,880,빠민
,바이퍼,엘리시움,90,2025-02-16T00:00+09:00,891,여비
,히어로,스카니아,73,2022-09-02T00:00+09:00,851,캐슬
,듀얼블레이더,이노시스,69,2024-01-12T00:00+09:00,877,쥔님
,제논,루나,93,2025-06-15T00:00+09:00,877,건생
,섀도어,스카니아,84,2024-06-11T00:00+09:00,877,탠도지
,아크,크로아,84,2023-09-26T00:00+09:00,887,섹슷
,듀얼블레이더,베라,88,2025-06-12T00:00+09:00,870,절개굿
,소울마스터,스카니아,90,2025-02-26T00:00+09:00,865,촹릭
,제논,크로아,76,2023-01-21T00:00+09:00,899,오타우
,듀얼블레이더,스카니아,87,2024-02-10T00:00+09:00,890,완치
,팔라딘,스카니아,58,2023-12-14T00:00+09:00,878,팔라디
,아델,크로아,89,2025-04-19T00:00+09:00,868,솔찐
,히어로,엘리시움,10,2024-02-22T00:00+09:00,52,츠예나
,아크,스카니아,71,2023-12-09T00:00+09:00,892,닦아줌
,메르세데스,베라,84,2025-02-22T00:00+09:00,882,겨희
,아크,베라,49,,896,기행
,나이트워커,크로아,76,2023-10-04T00:00+09:00,849,이두껑
,데몬어벤져,크로아,90,2025-03-23T00:00+09:00,869,푸키풉키푸키
,보우마스터,엘리시움,49,2024-03-02T00:00+09:00,503,반쪽궁
,듀얼블레이더,엘리시움,84,2025-02-22T00:00+09:00,860,대마초
,"아크메이지(썬,콜)",베라,94,2025-04-22T00:00+09:00,887,인젝션
,듀얼블레이더,루나,71,2023-06-09T00:00+09:00,888,찐렬이
,듀얼블레이더,엘리시움,89,2025-05-18T00:00+09:00,863,다운운
,아크,유니온,85,2024-08-10T00:00+09:00,862,크엄식
,듀얼블레이더,엘리시움,78,2022-06-19T00:00+09:00,870,커닝시티
,나이트로드,루나,76,2023-10-04T00:00+09:00,872,단념
,제논,크로아,59,,865,이둔
,칼리,스카니아,94,2025-07-12T00:00+09:00,887,러석
,"아크메이지(불,독)",스카니아,89,2023-09-22T00:00+09:00,900,기소
,패스파인더,크로아,90,2025-04-23T00:00+09:00,894,도쿄유저
,다크나이트,크로아,90,2025-02-02T00:00+09:00,867,동네시민
,비숍,엘리시움,83,2025-03-03T00:00+09:00,898,용하리
,팔라딘,엘리시움,77,2023-09-30T00:00+09:00,896,오일
,엔젤릭버스터,스카니아,93,2025-04-19T00:00+09:00,876,당미꼬
,신궁,크로아,75,2025-03-23T00:00+09:00,871,오우
,나이트로드,스카니아,75,2023-02-03T00:00+09:00,887,5징어
,은월,스카니아,92,2025-04-27T00:00+09:00,894,소올
,다크나이트,크로아,80,2023-10-15T00:00+09:00,899,엔수
,나이트로드,엘리시움,77,2023-12-02T00:00+09:00,863,입학생
,비숍,베라,77,2024-03-03T00:00+09:00,899,닉밴
,제로,크로아,86,2024-03-18T00:00+09:00,872,피쓰
,"아크메이지(불,독)",베라,85,2024-04-21T00:00+09:00,878,노조
,"아크메이지(썬,콜)",스카니아,90,2025-06-17T00:00+09:00,876,은긴
,비숍,베라,92,2025-05-28T00:00+09:00,880,아침짹
,나이트로드,베라,57,,894,동냥
,일리움,스카니아,91,2025-01-11T00:00+09:00,896,진이꼬야옹
,섀도어,스카니아,84,2024-06-19T00:00+09:00,888,수도자
,"아크메이지(불,독)",오로라,91,2025-06-15T00:00+09:00,878,번화
,은월,크로아,66,,893,대훈
,캡틴,크로아,84,2023-09-24T00:00+09:00,892,알림이
,팬텀,유니온,94,2025-04-23T00:00+09:00,891,버프훔쳐
,아란,베라,81,2024-01-21T00:00+09:00,897,VANS
,보우마스터,오로라,90,2025-07-19T00:00+09:00,900,모험왕
,팔라딘,베라,86,2025-01-12T00:00+09:00,887,유령과전사
,듀얼블레이더,오로라,85,2024-07-14T00:00+09:00,899,달콤폭신호빵
,제로,루나,84,2025-04-27T00:00+09:00,886,연속
,아델,오로라,90,2025-06-08T00:00+09:00,897,학공림
,보우마스터,스카니아,93,2025-06-13T00:00+09:00,866,덱스
,듀얼블레이더,루나,69,2024-03-16T00:00+09:00,890,이블린
,팔라딘,엘리시움,70,2023-06-13T00:00+09:00,880,꾸렝
,나이트로드,스카니아,10,2023-07-15T00:00+09:00,62,명칠
,윈드브레이커,크로아,85,2025-03-16T00:00+09:00,697,메일
,듀얼블레이더,루나,72,2023-09-30T00:00+09:00,875,긍민
,아크,베라,56,2024-07-13T00:00+09:00,852,뎅지리
,듀얼블레이더,스카니아,82,2024-03-17T00:00+09:00,894,포킥
,와일드헌터,스카니아,68,2022-04-29T00:00+09:00,897,에프
,섀도어,스카니아,91,2024-09-19T00:00+09:00,879,토반
,메카닉,루나,75,2023-03-01T00:00+09:00,895,오지
,카인,엘리시움,84,2024-06-03T00:00+09:00,854,나비꽃
,루미너스,엘리시움,93,2025-06-17T00:00+09:00,879,대고
,다크나이트,크로아,90,2024-12-10T00:00+09:00,880,승안
,팬텀,크로아,81,2023-08-18T00:00+09:00,899,문예
,듀얼블레이더,루나,75,2024-09-22T00:00+09:00,850,뭘해도우냥
,제로,엘리시움,77,2024-07-28T00:00+09:00,894,크리바인드
,보우마스터,스카니아,80,2024-03-17T00:00+09:00,888,크어
,팬텀,엘리시움,93,2025-02-25T00:00+09:00,899,아서
