user_name,solo_rank_match_tier,solo_rank_match_score,party_rank_match_tier,party_rank_match_score,ouid
speed,UNRANK,1950.0,GOLD I,1800.0,97db329778c3ac87524c8c52c3a9e78a
지균,GOLD II,2008.0,UNRANK,1800.0,2b74d979470e71bff7d4b189ee4788c8
반장,UNRANK,1887.0,MASTER I,2466.0,9ca9c9cef7e51b9c477b9a59f92df81f
lRIS,SILVER III,1707.0,SILVER III,1658.0,1a7f2212c416e739e262975fc9771b32
이서스나이퍼,MASTER I,2400.0,MASTER I,2400.0,2367552c16d60ef3c469e83c1a12f865
Mapleland·,SILVER III,1691.0,SILVER I,1350.0,8b18c4e0a836f13f380e07895554bfda
원수깡패,SILVER III,1736.0,GOLD III,2375.0,e850740bb69a6a7ad75c27fba5ebcf1e
두아이아빠,SILVER II,1508.0,UNRANK,1500.0,e8eac1a3b5a5a59a602ddc4d1e14bd9d
가성,UNRANK,2350.0,UNRANK,2350.0,0f4b38c4a1c403e99090af70b584f4db
반성,UNRANK,1400.0,UNRANK,1400.0,c502d3fd5758722587e8cd9e198e330f
re'Dalma,UNRANK,1400.0,UNRANK,1400.0,cbcea67075a87428c839e15efc2d9e30
제너갓펭귄♡,SILVER III,1657.0,SILVER II,1449.0,e46d4a5de0af0d4bdcb1feded8a6db8c
윰'-',UNRANK,1821.0,UNRANK,1750.0,06aa26986feabc7a6fb3a47842f62505
LovelyBear,MASTER I,2474.0,GRAND MASTER I,3199.0,3f0ac62f6ad7d5694c320da8d2fc7538
IIIllllIlIlIll,UNRANK,1400.0,UNRANK,1400.0,0e76d3d63aab916b051ec98c09b33d24
llllIIN,MASTER III,2975.0,GRAND MASTER II,3231.0,5798c06fe07f4617c7fa9d7742972654
종친,UNRANK,1400.0,UNRANK,1400.0,ee7e103078c7a3b1c9ffff46368dc8fd
♡롱리,UNRANK,1400.0,SILVER II,1512.0,9ec56da7ab9d01350ee28cfa9ee404f1
찬자,SILVER III,1712.0,UNRANK,1735.0,aa3de16816bef2bc2685d5c9b269128c
각성,UNRANK,2350.0,UNRANK,2350.0,387472745545c752f7933119441c39e2
러브민,UNRANK,1750.0,GOLD III,2392.0,ee2e50222837cd55102dd375873d1364
돈,GOLD I,1921.0,GOLD I,1930.0,2aba1ddc5b1637c56e73fff004b850a8
혈세,SILVER III,1654.0,SILVER III,1671.0,273fc7cacbb72e25dddc8703a37c4f68
iPhone,MASTER I,2422.0,UNRANK,2400.0,997f1bbcf0d794553dd5cd3e8ba2f31a
진짤루가짤루에요,GOLD I,1916.0,UNRANK,1950.0,a4ae38c88df1ff2017f150330339a39d
원포클마,UNRANK,1500.0,GOLD I,1877.0,b011e8a735e4bbf067688287a4f5d689
류승범,UNRANK,1653.0,UNRANK,1550.0,15adce07e64a4eb8f4a84c4b04b264ef
산,UNRANK,1831.0,GOLD III,2305.0,238ab45e41be1a196441840ec914cb57
BBangya.ly,UNRANK,1500.0,UNRANK,1500.0,99fdd03cfedd4e2d1e2a275c5f0ea50f
탐탐:D,SILVER III,1762.0,MASTER II,2650.0,e4f6adb7bd718c5aba0e700080581b13
라이트,UNRANK,2341.0,MASTER I,2400.0,988dd6365ec78a8c0d870110a69e8654
0.1t앙증걸,UNRANK,1400.0,UNRANK,1400.0,02061ef94e66b0b019e9feaf0476adc4
