user_name,solo_rank_match_tier,solo_rank_match_score,party_rank_match_tier,party_rank_match_score,ouid
#red*pccafe★,SILVER I,1288.0,UNRANK,1400.0,210deb06fd9f19e4c7d6efe375be86fa
elice`Jongho,UNRANK,1950.0,MASTER I,2599.0,ea9dcba8dc3df6ed62c637312c48c9f0
보물,UNRANK,1498.0,SILVER III,1674.0,d0c4b0df4a10a9f1c1f0a04ba967bd6c
빛나는브론즈,GOLD I,1944.0,UNRANK,1950.0,cba5c21892ab6a7949c43e6bca8dc2ef
은우1,GOLD I,1859.0,SILVER III,1768.0,b9282b1da17861088b498afa293b4cbd
초코롤,GOLD I,1861.0,GOLD I,1897.0,7424384d13b5aa1e704a0220554dee97
촐랑,UNRANK,1750.0,MASTER I,2502.0,fa976579eadf100f90b338fe6820b16e
천송이,GOLD III,2291.0,GOLD III,2396.0,a518db4eb352ff7e09024feed780d13c
잉잉,GOLD I,1819.0,UNRANK,1400.0,1213498adefba92baa7138aa0d050f6c
양가,UNRANK,1750.0,UNRANK,1750.0,a3d2c63f909d41e560d737e14b321c27
쏘우,UNRANK,1400.0,UNRANK,1400.0,8f9819acb514684d86c035b284e10dba
솜뿌,UNRANK,1413.0,SILVER III,1799.0,6071f4ba0b6ad1dda855fd54d8bf5c35
후배,UNRANK,2450.0,GRAND MASTER II,3399.0,534414ff89625147b46d0c64f00e4c10
코와이네네네ㅔ,UNRANK,1797.0,GOLD I,1800.0,3fa406b1f01251972b9d546fb6a1ef7c
Legendarys,GOLD I,1909.0,GOLD I,1880.0,ba1625893c7b8ebc87465063e425eb57
꼬집긩,SILVER III,1741.0,UNRANK,1500.0,88c7f7e8a7f346d0ab66a9dda0e2c546
뽀미,MASTER II,2680.0,GRAND MASTER II,3279.0,6325bd2d0907dafffebac93f0c269e61
전채현,GOLD III,2399.0,UNRANK,2048.0,41d82f5534d2f219e1c420d033128a7b
lIIIIIIlIIlIIl,GOLD I,1830.0,GOLD I,1966.0,baeaec85232b7b59b2b63ef351cd14e3
보영,GOLD II,2189.0,MASTER I,2518.0,8c27d951126ddba12ccf094b4b5fb4f4
현찰,UNRANK,1800.0,GOLD I,1952.0,8b7819156453522073e2495d5797bae3
형준,GOLD III,2229.0,MASTER III,2918.0,6bb067c0c60ed2c6af5dec07bac5d9ba
윈터,GOLD III,2212.0,GRAND MASTER I,3046.0,d374c0582818c96c8d7067ca77f4ebfe
평생아솔,SILVER III,1630.0,SILVER III,1689.0,840d8fa05aee75879a025c415b3676a4
후연,SILVER III,1672.0,GOLD I,1921.0,52f676ce655a9acb1327d8b6bee93d54
韓牛,GOLD II,2120.0,GOLD II,2048.0,cb031642fb9aa50c876d60b817863622
BOBCHOI,SILVER I,1341.0,UNRANK,1400.0,0a00dc2b0546bfcd6798fc4be772e0f9
세금계산서,GOLD III,2288.0,SILVER III,1745.0,9b63f37be284b9e4205dc7a4645cd528
ＭＩＲ,UNRANK,2350.0,MASTER III,2898.0,f54e2bf3c577aa3fd50578bb2c1937f9
외나무,MASTER I,2493.0,GOLD II,2154.0,5447b3b22b84ace082f92dc3a437bc9b
핵키,RANKER,3851.0,MASTER I,2400.0,41272652c2bba3865dfedda24a59462d
casting,MASTER I,2481.0,GRAND MASTER I,3070.0,b487ccabbc0f02100ecfadffe835167e
로그제재,UNRANK,1950.0,UNRANK,1950.0,80a2dc0ea59dcef5b0aad82253ff3e6f
Stra,GOLD I,1982.0,UNRANK,1800.0,143925a0a08e52bd4b289dc0d3085074
요네,UNRANK,2400.0,GRAND MASTER I,3067.0,b4310b7df4769789e53d240aeb9dea55
열정묵향,GOLD I,1944.0,UNRANK,1600.0,c355552a42729bb3aa3cc584ed86e20f
lIIIllIIIlllIIl,UNRANK,1583.0,SILVER I,1394.0,facb4f6b8c5a1767bf1cdb41d540a65b
라윤이,GRAND MASTER III,3576.0,MASTER III,2832.0,b93854f026f31513b2c0848b12bb3c60
학력,UNRANK,2208.0,UNRANK,2000.0,16b9d109db50a18337285465fd68780d
탄생,UNRANK,1500.0,UNRANK,1500.0,107f952ec161efb1dc760ae6c2c265a0
김수염,GRAND MASTER I,3091.0,UNRANK,2347.0,080fa4a17acb6e0ffc9b400e558d5f7e
소원,UNRANK,2400.0,UNRANK,2400.0,6acea493211b081c51f4c199d3f3edfb
￥eeezy,MASTER I,2563.0,UNRANK,2167.0,5f71d06c9977b636adbf845704df861d
모잘라모잘라,GOLD I,1818.0,GOLD I,1946.0,9d9ec39dcd7edfbf7d696f941b261cb1
스쿠터,MASTER III,2999.0,MASTER II,2700.0,fbf3838823e5d15cf12cc6b7d2e992f5
임민호,GOLD II,2190.0,GOLD III,2291.0,8b840e410c22ff7473087de302e6e94a
기말,SILVER II,1469.0,UNRANK,1800.0,9fee5c44ee2fa8d902edd2c9456f8f2d
승훈7,UNRANK,2125.0,GRAND MASTER I,3063.0,0514a90b73e94dcf8c13d85dac3caa15
포차,UNRANK,1400.0,UNRANK,1400.0,0c84d3f430b4d23ae22934557b980d00
최항,GOLD II,2065.0,UNRANK,1800.0,45afc9eca26756f58065d0a5b93a0312
효빈,UNRANK,1800.0,MASTER I,2450.0,cad95c4868e351237a0de4cac3e6cc03
미라클복실,MASTER II,2659.0,UNRANK,2000.0,29b8e3f898515cc4e787b2ec74d12068
총들어이넘아,GOLD I,1885.0,GOLD II,2189.0,6cbc6bc425b56afcb65094f7eed20be0
peach,MASTER I,2400.0,UNRANK,1800.0,d9591b826db8d611f4eed014791889c6
쪽지남겨주세요,UNRANK,1400.0,UNRANK,1400.0,f9a482a58290fc0a3f833a95315a2aac
영준,GRAND MASTER III,3491.0,GRAND MASTER II,3250.0,a0d13ac7a3d778fe8680c842313f018f
용서,UNRANK,2352.0,MASTER I,2529.0,ace637a4977e50b44d59ab29042afbd0
체리사탕,UNRANK,2350.0,MASTER I,2451.0,7b4ccdd1a45d058dee208afb8ae7646f
유승민,SILVER III,1706.0,UNRANK,1500.0,e1a184b3d7fe960bac87efeb0fc0f5cf
정용화,UNRANK,1950.0,UNRANK,1950.0,93b63931984005b6b24d0b213b46f61b
서든러_25770114,(Unknown),1400.0,(Unknown),1400.0,d91f14c9f0f5e27fdefd745b5c154a0c
와인,GOLD II,2143.0,MASTER I,2497.0,c2f3058e2bee05bf17911c847fc827bb
화지,GOLD II,2004.0,GOLD II,2027.0,3481be46ed14b44101755ea4a326e9cc
빼,UNRANK,1400.0,UNRANK,1400.0,c849050595d81e8fbe5eb34dade47db7
야미,GOLD I,1910.0,UNRANK,1800.0,d735ddb457a0d137c6c46d8153eba39f
IlI1,UNRANK,2350.0,MASTER I,2568.0,f36d846979fe2aaaac0de203bc1c111d
65gir1,GRAND MASTER I,3061.0,GOLD I,1800.0,42623e037e749483cdc4ecc20652003f
ivory,UNRANK,1500.0,UNRANK,1500.0,d307763fd209492574ea383046a1275e
hyunsungg,GOLD I,1982.0,GOLD II,2199.0,0136f10d0f040ceb86007bbb3ef41231
탑건,GOLD II,2187.0,UNRANK,1827.0,d0646bc50cb2f86d8ca25dfb0e851de4
몽이,UNRANK,2350.0,UNRANK,2350.0,92ddc79a54a31a4191d2da3105a5f37a
Mr.England,UNRANK,1400.0,SILVER I,1237.0,f85891777cd6744f68468ab0574de536
서든러#000884539,UNRANK,2341.0,GRAND MASTER I,3000.0,655b40d2133c458bdb9930103960c61e
다희,UNRANK,1546.0,SILVER III,1719.0,4f2aa7cd9dc3c389968b51f17e4d7235
민교,UNRANK,1400.0,UNRANK,1400.0,e429485f98c96d823a27a38a592f5feb
ohmygosh,UNRANK,1950.0,MASTER I,2404.0,120cc58a11edef06fb75e79e387c2047
래아,UNRANK,1400.0,UNRANK,1400.0,e4f1a94eb732f69c784e91776c71f5fc
일본,UNRANK,2450.0,GRAND MASTER III,3439.0,bf8be389fa47776e0f61b7faa8d85d0e
잔인한꼬맹,GOLD I,1900.0,UNRANK,1600.0,8613d37706c65dd87efe3c258c4b249c
sowall,MASTER I,2599.0,GRAND MASTER I,3141.0,6a912fc219accde193dad9ee3e6595cc
찡둥,GOLD I,1999.0,UNRANK,1600.0,8dd711c6930202ec3c10fc3a310d1277
먹고갈래,UNRANK,1400.0,UNRANK,1400.0,2bef6f4102311b3ecf7ffc9a28c430cd
당긍당긍,GOLD I,1999.0,UNRANK,1950.0,5a16d5c007deb76ff4f3bd6bc85fa89a
카르나스,MASTER II,2799.0,UNRANK,2400.0,3df995f5c9e2595073ab5c9474e19bc9
펜넬,UNRANK,2400.0,MASTER I,2426.0,26661f4f5ddcb8469a87ceeee34f4ae9
ggaebaki,MASTER I,2421.0,GOLD II,2199.0,20d7ef5a5f0c9027a9832e9f73980e53
김연제,GOLD II,2196.0,MASTER III,2872.0,3b9b8b6c99701e425ada3e0fc72322c1
에임,UNRANK,1400.0,UNRANK,1400.0,d733e39cf5503960fb9cd0579d9890ad
토심,GOLD II,2086.0,UNRANK,1950.0,22084df93879de54941beef010532acf
키라라,GRAND MASTER II,3218.0,GRAND MASTER III,3599.0,74f29f7711ab53794b07fe5912d6c12a
Gift,MASTER I,2429.0,GRAND MASTER II,3203.0,4395282272057620eb2458efacbfd9d6
두산,GOLD I,1898.0,MASTER I,2400.0,1c7b3bb48bc506576e712675cee0eb3e
요¸아˛정,SILVER III,1653.0,UNRANK,1400.0,8b8435e18faf9002798dd6242f6e5d36
콕,GRAND MASTER I,3172.0,UNRANK,2400.0,1b582f36ae431ec43cc2d2dca0bf339e
원포인트보성,MASTER I,2468.0,UNRANK,1800.0,5d85bab69f1f6eff7758de6f45da1c3e
시뚱땡,UNRANK,2350.0,MASTER II,2766.0,fc1a6eab9f421be155b7b9146335c44e
옥히,UNRANK,1550.0,UNRANK,1430.0,b380b2a67742eb44a200cb585e74d7f6
랜뽑,GOLD II,2178.0,UNRANK,2000.0,02d81b50de0ce438c9c21fd76ad53655
야쿠자클모中,GRAND MASTER II,3219.0,GRAND MASTER I,3041.0,f2088cb91ccd358567adeacfd672ef53
트리마제,UNRANK,2350.0,UNRANK,2350.0,f9e93a0b2fec7db438bd28f6925a2f70
다래,GOLD III,2399.0,GOLD I,1992.0,dea48f896861786eed777dea79e29f98
foxy~♥,MASTER III,2975.0,GRAND MASTER III,3463.0,e351bed0bd52e941c62b4df47399581f
IllllllII,GOLD II,2050.0,GOLD II,2199.0,7de1c247f0885a830cac74c8afca4560
newyorker,MASTER II,2799.0,UNRANK,2400.0,1e0fd0ab10b5c4ffbb14770326588d8d
마성,UNRANK,2400.0,GRAND MASTER II,3326.0,6029cea7766c06729f455389d0641624
스킬,UNRANK,1794.0,GOLD I,1800.0,a88da456e8efee6b05e559ae3ab9fd5b
나이트,UNRANK,2350.0,UNRANK,2350.0,5a1b09eb3fde9715e9fffb075ea8c0b1
수민,MASTER I,2516.0,GRAND MASTER I,3152.0,967f6b9bea9fbcad115ad36953447b64
떵민,MASTER II,2665.0,GOLD I,1972.0,9bd7d64578221963e442a931e5d4d89e
늑대,UNRANK,1767.0,UNRANK,1800.0,44e182a35389fa081f00b2e82819159a
애링이~♡,UNRANK,2400.0,UNRANK,2362.0,e9dac9c57af35bd8cf434e6239a9fc3f
딱딱이아저씨,SILVER III,1607.0,UNRANK,1500.0,579146791d26cea6e11c6f7649f957b7
박진수,HIGH RANKER,4082.0,UNRANK,2450.0,5915ed69ec8a8c2be7c3f4fbbfdfee40
Larks,UNRANK,1400.0,UNRANK,1400.0,dd58a01cd9a23c6bfd068d0258eb4e72
예리,MASTER I,2400.0,MASTER I,2465.0,a69148eef542904110a495c48b4bb35b
낙지레버리지,UNRANK,1400.0,UNRANK,1400.0,47f564778ee893c688a7adc4c303c103
전사,UNRANK,2000.0,GOLD II,2012.0,fd85308f3987feb460bb34be92c75386
IlioilI,MASTER I,2570.0,UNRANK,2300.0,a187d175f943f8b6bf1ab0e69a13826f
onelove,UNRANK,1400.0,UNRANK,1400.0,46ed743c39fea43c228dec42f3a771a6
속상현,GRAND MASTER II,3375.0,GOLD II,2191.0,91842acf8ddae9170361dd4b91021175
신＼('ω')／나,UNRANK,1500.0,UNRANK,1500.0,c5085490bfe6925f4d8d902d3fd996ae
bba,MASTER II,2690.0,MASTER I,2476.0,0405878b861ba46a0ecd961ac737963e
야미メ,GRAND MASTER I,3126.0,GOLD II,2141.0,4bb997a7f1c21ab2c681cb52408b771f
해적,LEGEND,3749.0,GRAND MASTER I,3115.0,01e418adbb180c3899de0ae34dd9789f
관통,GOLD II,2135.0,GOLD I,1886.0,b749cda7cd2f3182664ca89224fb2929
박덕흠,SILVER II,1538.0,SILVER III,1682.0,8a586766e35a66b12e61adfe77ee3345
cherryme,GOLD III,2290.0,MASTER I,2514.0,57d78b214f2d3d3c026215be9528efff
츄,MASTER II,2635.0,GRAND MASTER II,3305.0,8fcceda225ce8b77ecd48ef844b0793f
흥,MASTER II,2652.0,MASTER I,2482.0,ec3300d4f9f4f1be32d7e082ebcb6d19
힘??,MASTER I,2402.0,GOLD II,2134.0,5a7cf65265ee9966eface4ee8c8fbfa6
singilu,UNRANK,2300.0,MASTER II,2742.0,e5719b82d752dcce65256e444a540958
Seirens,UNRANK,1500.0,UNRANK,1500.0,284c18d64828530106ef73d63c9bc077
까칠한소라씨♡,UNRANK,1400.0,UNRANK,1400.0,0f0cf6a689653b28c6d704c777cdd570
디땅,GOLD II,2059.0,UNRANK,2000.0,51dd016337e371792658cf53057b9cc5
롱길,SILVER III,1602.0,SILVER III,1689.0,ab5e7b1c66e61c0371d0fb5f3b78154b
주,SILVER II,1570.0,SILVER III,1621.0,2d4702d5ab3a7cc1a4001a51ba9404e8
Billiant,UNRANK,2400.0,GRAND MASTER II,3350.0,38e8c109e706516de047c5902d4e0f70
(´⌒`∩）울어,SILVER II,1408.0,SILVER III,1605.0,19104fa876bd2ff725f3995f5a478910
Hancock,SILVER III,1799.0,UNRANK,1500.0,de627e2940d2ceb5d6fab2a738b9d860
나예,MASTER III,2850.0,GRAND MASTER I,3078.0,766cb6d70a56870a31b58101bf4747f6
장어,GOLD I,1968.0,GOLD III,2399.0,8be5f3f717818b7eba82149d02ea4f7e
동희,GRAND MASTER I,3103.0,GRAND MASTER I,3132.0,6c4df67c8bba255a4e464dc04d941427
우린,MASTER II,2710.0,GRAND MASTER I,3054.0,99d97d9d16a681cd89d1e7c827a27911
이하영,UNRANK,1400.0,UNRANK,1400.0,ff1fb9a283d02bc12a4059b277cb9cd3
Sword,UNRANK,2400.0,UNRANK,2400.0,770d6e0d64e4e40b3c6e06321bdb69ed
김똘비,UNRANK,2300.0,MASTER I,2509.0,be40d1d729e5d2a12ab77d236f7ca645
창자,UNRANK,2400.0,GRAND MASTER II,3264.0,bd785e176ee9a3a7a8d837288a42caed
로이,UNRANK,2400.0,GRAND MASTER II,3279.0,983948af2a5f8cc5762fdaa785a87782
도끼,GOLD I,1904.0,GOLD II,2129.0,d45038d8ff32f9ed5d7f01294af5d68c
Gard,UNRANK,2450.0,GRAND MASTER II,3250.0,8557c91e7291dc04631f23efb066b733
이정음,UNRANK,2005.0,UNRANK,1950.0,e39b66d3d5b10c1bc98839097223a881
IlIIIlIIllIll,UNRANK,1600.0,SILVER III,1799.0,7cd4503eafa357b776a83f1ece8f39cb
스커,UNRANK,1400.0,UNRANK,1400.0,b6478724e45edc5a3c1a68fc1d246d0d
채금,UNRANK,1400.0,UNRANK,1400.0,f6d3c6d822465963c15439aa8f5250b3
JungHo,UNRANK,2392.0,MASTER II,2658.0,a88385953efcd6198fe30874dd875fb7
오리,LEGEND,3638.0,GRAND MASTER I,3152.0,f31bdc2e6e5a7b749b4aac527411ffc3
Matteo,UNRANK,2500.0,UNRANK,2500.0,36c99bc038ba198c2fc0b2ca59a17815
패왕,UNRANK,2000.0,UNRANK,2000.0,7a06c09e0dce5bc8ea1ab40d00d12a49
건설,UNRANK,1400.0,UNRANK,1400.0,c2bbf914c13636dfa119709d763910fb
데이나,MASTER I,2423.0,GOLD II,2062.0,1e65f341d5d1db5e414c9352193aee1d
Ålbert.이프,SILVER III,1794.0,SILVER II,1494.0,5991780600f8706dc8d603fb28bdf5e2
♡hanna,UNRANK,1500.0,UNRANK,1500.0,bf552b1d6edb03a8086be13a6907911f
해운,UNRANK,1500.0,UNRANK,1500.0,3912b69b1ab7f0287e6b2ad9cdde5e40
호두7,UNRANK,2000.0,UNRANK,2000.0,4927311908b62f04caa5153ecd5c1d1b
부산잉,SILVER III,1624.0,SILVER III,1789.0,18e436caf38fb4823d3ef33e9eff0982
한별-_-,GOLD I,1953.0,UNRANK,1950.0,be7f9957de91e2e0233992bbee3c97f0
ⓜⓤⓨⓐⓜⓤⓨⓐ,GOLD I,1999.0,SILVER II,1465.0,7571c5e2df7391194cf1ec02bdce1845
이근,MASTER III,2999.0,MASTER II,2647.0,03b94b4aaed378998f8c6055c996895d
테러,GOLD I,1816.0,MASTER I,2400.0,3cef12825374dcc0c3499ef15e0cbba6
파덕,UNRANK,1550.0,UNRANK,1550.0,c9d298982642462d026007f4f93474f3
케빈,MASTER II,2775.0,MASTER II,2754.0,97c838b8dadb430fe0cf8409fb6f24d4
찌혜,MASTER II,2799.0,GOLD I,1830.0,2ae56582b589550bc1ffbdd5859e4605
정훈희,RANKER,3824.0,MASTER I,2400.0,109a3c427e092d6b0b3844800e2c0e1a
찡현,UNRANK,1550.0,GOLD I,1975.0,03fa501341a2fa63848ed2f931d05141
흐앙이,UNRANK,1500.0,UNRANK,1500.0,604b39adfef0824e2bb1510f17644a08
sense,MASTER II,2701.0,MASTER II,2686.0,817d474f8c723f028ec53466dbcdcbde
~코카콜라~,SILVER II,1445.0,SILVER II,1530.0,e420541c6cac9d6b58f720d801078e01
탈론황제강혁,UNRANK,1827.0,GOLD I,1964.0,bc358a102f4f4681069b4cf9c8a91c6e
박성한,UNRANK,2350.0,MASTER III,2931.0,d4d54ff399e02a884c3a29b8d0f76bf7
거참,UNRANK,1750.0,MASTER I,2504.0,25c304ecd1f3bbd17e8bd5daf3f8791a
애기넙치,MASTER II,2656.0,MASTER III,2918.0,71bdce0088162edbb6db96ed1d2d0820
냉냉,UNRANK,2000.0,GOLD III,2248.0,e6cf6e73d7262f61dca66df7e3ac2305
잔인한소닉,GOLD I,1900.0,UNRANK,1600.0,79d56f4f87627e7c3f899ef16a2324b7
Heretenitripes,UNRANK,1400.0,UNRANK,1400.0,895d02c1a9dab3a32ba0d65b374e9355
다피치,GOLD II,2192.0,GOLD III,2302.0,f10f25fd064f7e23e426cec4af93aab1
케이크,GRAND MASTER I,3060.0,MASTER I,2429.0,cd0254b25571248cae1523b5b723c187
레이븐베라,GOLD I,1800.0,MASTER I,2412.0,5100560b5127802c827f73f7db6b5299
샤탄,GRAND MASTER II,3208.0,UNRANK,2396.0,cfcdecb3308e7d631634c5b082791071
민경호,UNRANK,1950.0,MASTER II,2775.0,607a2be8ce2321f1a38711652dcd6484
쏠라,UNRANK,1745.0,GOLD I,1850.0,855523a27f6961ae1bae148ed358e897
BongSunny,SILVER III,1735.0,UNRANK,1550.0,3929f14f59315fa59ee3404358bd8aad
떡팡,GOLD I,1875.0,GOLD II,2086.0,92bb3f9ffbcd4f1c0a0ec8d60d33f14b
복수,RANKER,4037.0,UNRANK,2438.0,438ed68efaecdc65677febe6b757d194
콥,GOLD I,1909.0,BRONZE II,955.0,9be965c7427ca308dc628447433913c8
머랭,UNRANK,1400.0,UNRANK,1400.0,fa5fb4b9ec24ddd10908ef975f2f0108
ㅊㅇ,UNRANK,1400.0,UNRANK,1400.0,c4f8eef70a3592eee199425c27efe5f1
하고갈래,UNRANK,1400.0,UNRANK,1400.0,71abaae01aba3f3afb32d075022665c9
러닝빠름,GOLD II,2041.0,GOLD I,1997.0,964f3b777df0d000f66308224379f15f
조각사,MASTER I,2510.0,GOLD I,1909.0,003d0b600c59e36feaa73cca3994a408
재롱,UNRANK,1400.0,UNRANK,1400.0,012e622254f0024d03b6e88db7b62e22
뜽미,UNRANK,1950.0,UNRANK,1950.0,91e4969aae0041b5fcf1de8fa5b7b046
정겹,GOLD III,2300.0,GOLD I,1976.0,783e3b46481bb0f7dfd6b6557399ff81
Sodore,GRAND MASTER I,3199.0,UNRANK,2300.0,88c7e238d0b187259e62a509337014dd
Soul,SILVER II,1582.0,UNRANK,1500.0,9e7f7390f9f0fecaaf9517d0cd52db47
율솜,UNRANK,2250.0,UNRANK,2250.0,1e51738d7e451a9790159ccd29f2043d
Santiago,MASTER III,2901.0,GRAND MASTER I,3183.0,21ecc9d162b6976e6874812bd89db38e
느낌メ,GOLD II,2081.0,GOLD III,2200.0,0d6f8e5a184ac089ce34bf48f3003c38
XRP,GOLD II,2199.0,GOLD II,2199.0,c86960708b3cfcbfef81b0620a013753
lIIIIIIIlI,UNRANK,1441.0,GOLD III,2292.0,98415bb884faa7fc2858cfa84886f0df
rhshl,UNRANK,1400.0,UNRANK,1400.0,8dfdfbefaee6a09dffe9450d037278e8
유환,UNRANK,2300.0,UNRANK,2300.0,32ec9fa271c7a520e296dcd797ab5eeb
명욱,MASTER II,2741.0,GRAND MASTER I,3028.0,e437dc6081c673df101bfb2ef1265a33
애쉬,GRAND MASTER II,3217.0,MASTER II,2607.0,59b07f21113db19afff601f1bd24bb4d
은별,UNRANK,1750.0,UNRANK,1750.0,38541b3bbc59a53af3339e84e2312dda
자고갈래,UNRANK,1400.0,UNRANK,1400.0,e7f3d3cb8427626f3e983665e28c33ff
팽하,SILVER III,1613.0,GOLD III,2357.0,c7abe05310ed565ee8c74b417416ea51
도아,UNRANK,1950.0,MASTER II,2749.0,8e58ae8e743fdd1be3c4aa49959503bd
강준상,UNRANK,1500.0,UNRANK,1500.0,dd68a8d4c783ce05fc92057d53af4f9b
Melina,UNRANK,1750.0,UNRANK,1750.0,a1f11bafc78171b7d2a216de6150e47b
떡갈비,UNRANK,2013.0,GOLD II,2129.0,f920c51fcb7ecc8b120d554b4a5f9923
쥬얼리,GOLD I,1800.0,MASTER I,2400.0,7d05df80fdadf9898a261510704664ba
CSI,GOLD II,2059.0,GOLD II,2140.0,cb48f1c74757213dbe23fc643c1d0be3
시웅,GRAND MASTER I,3132.0,UNRANK,2450.0,540000743f96e893dc467965c9b95d72
삥밍,UNRANK,1603.0,GOLD II,2029.0,f8f98fcb83b87b08b56c4d113a8456ba
아지,GOLD III,2244.0,MASTER I,2400.0,a78800746a3fdb23e46ea90423516adc
Love，Fear,UNRANK,1705.0,GOLD I,1975.0,67ec1445c0b712067c75ff994702b533
포뇨,UNRANK,2220.0,MASTER I,2517.0,89078f1bbb3a60bfee94c6e621989379
서든러#000814997,UNRANK,1549.0,UNRANK,1400.0,0b3c531f07dbcf15100e4b9d0dff5a8e
살색영화,UNRANK,1400.0,UNRANK,1400.0,3151975af5744631a41901c96ab7e189
봄이님,GOLD II,2050.0,MASTER II,2769.0,a0a3b0f9e45f8fb84798a40f1290ca6b
♡균이,UNRANK,1828.0,MASTER I,2403.0,cab8ee42b8c50ad8f460d5675489caa8
세징야,MASTER I,2565.0,MASTER II,2716.0,495695c5186471ba0636d8c3e6278d4d
Ly.모모,UNRANK,1500.0,SILVER III,1661.0,1cf448a29585aa7b2a4cd3d389a50af0
럭비,UNRANK,1400.0,UNRANK,1400.0,42f4fd9548b009767dab36495c8d75b8
방귀대장뿡쁑이,GOLD I,1820.0,UNRANK,1950.0,aca1ff1b37b1fe852ea2782c424ef2cc
주기후,SILVER III,1695.0,SILVER II,1557.0,5b587064099e9c92d1d2b1b73f92fa8e
llIII,MASTER II,2618.0,MASTER II,2789.0,b46d3e07cac4798c5bbf7853d794e3da
원포인트천사,UNRANK,1400.0,UNRANK,1400.0,6013b18cbe747226982a104a6b5fbe0c
lluvia,MASTER I,2599.0,MASTER I,2400.0,d23fe1632f3f21fee4c632bf3739c501
kkk`x,GOLD II,2053.0,GOLD II,2019.0,68f96715bc9e2320d83eb33d48b3bf1b
마에스트로,GOLD II,2113.0,UNRANK,1800.0,dd887e6b3b0469d264797b4b49af34fe
HolyMoly~~,UNRANK,1400.0,UNRANK,1400.0,74d5bc3607a6b9b9ba8b06cbbd28222f
한샘,UNRANK,1950.0,MASTER I,2496.0,adda23744c9d4f133aab21426a1ef9ee
힌,UNRANK,2349.0,GOLD II,2185.0,a8b730d005d5417fb5905504bf4aef0f
나이프,GRAND MASTER I,3058.0,UNRANK,2400.0,bfe219d139e6cbccb92905d99b8ded8d
신디,MASTER III,2904.0,GRAND MASTER II,3230.0,4eaa7db077f085c49e230ba22f230837
형릉이,GOLD I,1894.0,GOLD I,1917.0,9f2d24ab630bdf5b4dafc148bd13cc39
달민훈,SILVER III,1619.0,SILVER III,1651.0,c0c4e6388a7add5e8a171f9fa5890d68
왼삥,GOLD I,1892.0,UNRANK,1550.0,10042a44c97f01d174179ea76ed6a6bc
celly,UNRANK,2400.0,GRAND MASTER I,3035.0,a1346cebd83fcc934ec274a2e91c843a
푸들,UNRANK,2400.0,UNRANK,2400.0,e2cf2aa4a908a07bad0c8bb84576eee3
혼입,UNRANK,2400.0,GOLD III,2399.0,026267d573f2631b2a77202b0d5c6469
사돈,GOLD I,1940.0,UNRANK,1950.0,06ff99b3d2e5ece5f7ec458f6b48c996
초대명인,UNRANK,2291.0,MASTER III,2999.0,4ed792e406b193ce14bff2281d3387f4
베이스볼,GOLD I,1980.0,UNRANK,1950.0,7dd215c992f4029e4cc10b36f5d9d72b
복사,SILVER III,1726.0,GOLD III,2399.0,dddc62da484a1e417b95c9403236df77
grapeee,UNRANK,1750.0,UNRANK,1750.0,502bd6a28f44826f3dace4ac09c60af2
IllllIIlI,SILVER III,1787.0,SILVER III,1730.0,f759e275f208c68c55a5915cf79a3559
밀워키벅스,GOLD III,2367.0,GOLD I,1800.0,3cf7b28b5abdb6688f9de5653f994c69
펭마,UNRANK,1874.0,UNRANK,1816.0,6e4a4e8883700d65afe24ca42723613d
냥장피,UNRANK,1400.0,UNRANK,1400.0,f763ab73e1b8d8a7fb8be880a341675a
ㅈㅈ,UNRANK,2000.0,UNRANK,2000.0,527b0076d85741b44114ea5939fe7bd0
바람같은,UNRANK,1500.0,UNRANK,1500.0,4ae4a57c9ee04fe5246d36c72b940f8a
제환,GOLD III,2399.0,MASTER I,2473.0,f334c37e0c7c6f118143a1d7af3ccc25
바보,UNRANK,1400.0,UNRANK,1400.0,ee2e7f2743688fc61381dff85de3f337
야인,UNRANK,1400.0,UNRANK,1400.0,c511d5f4a0a3f79c723f09bb59edaeab
BIack,GOLD III,2375.0,MASTER III,2830.0,809157a89d859de8c3d41dbb25856620
지빈,MASTER III,2832.0,MASTER I,2421.0,9133015a117b0505796f407562676187
신서연,GOLD I,1957.0,GOLD I,1815.0,a8184e34117b44e70acd86dc2a32e192
ㅠoㅠ,UNRANK,2407.0,MASTER II,2754.0,3ce2315d183df77820031321145de21d
ＫＥＮＴ,UNRANK,1339.0,UNRANK,1400.0,cc3530f39937b4c12bfcdd4c98ff365e
missA,UNRANK,1500.0,UNRANK,1500.0,cad4fbe22ef3c0a144f136fbbf8d5bbc
Magisk,UNRANK,1400.0,UNRANK,1400.0,67eace77bd34ca7bc099b51018007dc1
청류,GOLD II,2199.0,UNRANK,1800.0,d0f1c9f9611efdd7713d9d7ca6a2103c
지현우,UNRANK,1950.0,GOLD II,2175.0,c34952d9578663821e8477aae2615ea2
palry,MASTER I,2441.0,UNRANK,1950.0,a60bc18c3f8fc18bf2f2c664e9ce4375
로사,UNRANK,2400.0,GRAND MASTER II,3399.0,2e0cdcd12b08190b72a0e82bb2074e94
무선,UNRANK,2000.0,MASTER II,2691.0,bbc5ff91ec1650286bc07b8351246210
오늘예민한날,MASTER III,2847.0,GRAND MASTER II,3337.0,dd90338a9aa440cb59fa161c82bc95fc
