user_date_create,ouid,manner_score,clan_flag
2016-08-02,2ce42ac3d20ab0bcb21b72ff6675ecba,3.0,1
2013-07-13,a8f3e2f4ad589abf83ac9febe5a36453,3.0,1
2005-12-06,26c6ef281b80c34f703a378b34568d80,3.0,1
2011-09-27,16650f3a8db2d4f4f06f38fb97b67247,2.0,1
2010-06-22,5f5eef029527bcd41e71832d0ef7f570,3.0,1
2008-10-21,123d200947d6d2f5bd5619f4a4bbec68,2.0,1
2006-09-30,1b0c58caa535ce8c3478d1163f624cd7,3.0,1
2006-07-06,ae2b0a6d046e21bc22e91816ef5e44ca,3.0,1
2015-11-21,d6cece07c765e0242e9cadccbb84c6f3,2.0,1
2015-05-05,69c6272c668d9161e20b246a17c53863,3.0,1
2012-12-16,8970504ec5284edfe946feb968f236de,3.0,1
2016-01-30,b3ce20e4e1b749d2ea7b9c5bd8ea6d3a,3.0,1
2016-11-25,1d8ba77e386d4d1f490834345f368143,3.0,1
2012-02-22,ea36a0969328927ce4e7ded3976d1fac,1.0,1
2008-12-28,ab6b970c0d8478a70c80a944de5e33d4,3.0,1
2013-03-30,28ecd94b3460d7b3fe9f9d05e5710427,2.0,1
2013-11-20,9f1e4ee0b7189cbf26f61d406a4384f9,3.0,1
2006-11-21,0d6653ed2159cb510c14af9c4141ec5b,3.0,1
2006-02-15,ca9f424f0d15f5cacdfe92ae739ea3fa,3.0,1
2017-10-03,fc44cb28f2fed2c506495ee7d12712aa,3.0,1
2013-05-05,847c6e4a25a0ae9da06542b8b34e01d4,3.0,1
2011-07-14,8e1780ebc367c8305e7c667bb7af65a2,3.0,1
2012-02-16,282635d7a7febf09f6c6b75d2b4e53cf,3.0,1
2009-07-13,fbe05878f8cab4157b041b81814c73fd,3.0,1
2011-08-05,4b1e12a61248eea9ea7f78f71da6b86b,3.0,1
2008-04-09,20e33b6b3e0e957df549b3dd6ebf689d,3.0,1
2011-06-19,9a8e0f12855b23c60c1ebe54564e226b,3.0,1
2008-09-28,1ebc186e9f889fa3974a406aa09fc829,3.0,1
2006-06-02,73fda248ff16eede5471edd2d0cc9359,3.0,1
2014-07-31,ccd01264eed929b82d4003fcdce85736,3.0,1
2005-12-06,fc68a32950692ff790bd92cb066a64f0,3.0,1
2012-03-28,502b6e40e6cef4db201a588c20f73977,3.0,1
2009-03-16,805397ecbb640a9e4188a9baf1b2eeb6,,1
2013-06-02,54426b475bfc0c84eba9e490bd0ecae6,1.0,1
2017-04-27,28881b22e56d1ebbf792d94f5fab6ed2,3.0,1
2013-02-13,b50e93b420473990d23459de55b61203,3.0,1
2018-02-18,0f9cfab8569741459e9c2a440df4a74e,3.0,1
2019-10-11,829b554a9d54873ddd2c8d14efe96680,3.0,1
2018-12-07,c66ffea284872e0abf389280359bc617,3.0,1
2009-02-12,f790fef8b19ccf53a5b32fafb52ff105,3.0,1
2016-12-01,a562d72f5e2a91814cde18aa5a0c9b97,3.0,1
2014-04-02,ee09be66fcfd5a10672223d9f542585c,1.0,1
2007-01-09,a5cd9595e1f9325195c08629431ab9ea,3.0,1
2006-07-13,79d0d4fffb37ce1d0ddf808c8cb63b60,3.0,1
2006-01-01,3228306efc0137bdce36418c13d941d5,3.0,1
2007-03-17,5eda75df3f580125d4c030740706d92e,3.0,1
2012-08-04,efd30cc1a1301bbfcc00e83592078a2d,2.0,1
2010-05-30,d2729e3ed99e1d97c04922997c004454,3.0,1
