nickname,world_name,character_class,character_level,character_exp_rate,character_date_create,dojang_best_floor,dojang_best_time,popularity,최소 스탯공격력,최대 스탯공격력,데미지,보스 몬스터 데미지,최종 데미지,방어율 무시,크리티컬 확률,크리티컬 데미지,상태이상 내성,스탠스,방어력,이동속도,점프력,스타포스,아케인포스,어센틱포스,STR,DEX,INT,LUK,HP,MP,AP 배분 STR,AP 배분 DEX,AP 배분 INT,AP 배분 LUK,AP 배분 HP,AP 배분 MP,아이템 드롭률,메소 획득량,버프 지속시간,공격 속도,일반 몬스터 데미지,재사용 대기시간 감소 (초),재사용 대기시간 감소 (%),재사용 대기시간 미적용,속성 내성 무시,상태이상 추가 데미지,무기 숙련도,추가 경험치 획득,공격력,마력,전투력,소환수 지속시간 증가,force_sum,force_mean,force_min
진지조하,오로라,아크,286,86.811,2019-01-01T00:00+09:00,97,823,65,285913335,317681481,91.00,524.00,55.23,95.99,70,123.80,94,100,99999,165,123,438,1350,660,114953,13188,9311,9501,49646,28977,1448,4,4,4,0,0,12,4,56,5,12.00,2,6,7,5.00,14.00,90,77.00,13325,3339,918405335,18,1980.0,152.30769230769232,0.0
식중땐,루나,카데나,292,84.67,2020-03-25T00:00+09:00,97,871,608,69323504,77026114,104.00,389.00,10.00,89.03,129,119.35,70,100,57541,160,123,295,1350,750,6973,9675,5728,65213,56316,32604,4,4,4,1478,0,0,245,144,51,6,139.00,5,6,7,5.00,14.00,90,296.00,9515,1922,302671943,0,2070.0,159.23076923076923,90.0
박격포,스카니아,캐논마스터,292,56.011,2023-02-28T00:00+09:00,0,0,37,209297465,246232311,66.00,572.00,73.42,95.61,114,116.85,50,100,99999,160,123,436,1350,750,110945,13196,10527,10652,67699,32606,1478,4,4,4,0,0,25,30,55,2,52.00,5,6,0,5.00,14.00,85,176.00,12478,3351,900593517,12,2070.0,159.23076923076923,90.0
박준형,스카니아,아델,291,51.166,2021-01-10T00:00+09:00,96,859,173,222226926,244205411,97.00,589.00,68.60,96.67,100,124.80,60,100,99999,160,123,419,1350,750,110440,13657,9741,9401,85316,26044,1473,4,4,4,0,0,25,29,83,6,12.00,5,6,17,5.00,14.00,91,191.00,12419,2958,888958704,0,2070.0,159.23076923076923,90.0
렌조,엘리시움,에반,292,87.827,2016-06-02T00:00+09:00,91,883,1700,81615299,85910839,68.00,552.00,67.31,96.65,90,113.20,56,100,26750,170,123,281,1370,760,4430,4274,64531,6366,39539,69670,4,4,1478,4,-430,-404,246,113,67,4,12.00,0,6,7,5.00,6.00,95,223.00,2146,9630,289505048,10,2080.0,160.0,100.0
라핀,스카니아,나이트워커,290,9.579,2024-05-16T00:00+09:00,0,0,100,96902666,112677517,78.00,415.00,39.15,90.48,89,122.25,86,100,53988,160,123,288,1370,720,6524,9446,6850,69888,61041,30888,4,4,4,1468,0,0,264,41,85,6,52.00,0,6,0,5.00,0.00,86,218.00,8995,2179,324650466,0,2040.0,156.92307692307693,60.0
김우빈,크로아,캡틴,291,35.087,2024-09-06T00:00+09:00,96,885,88,166634203,196040238,69.00,566.00,42.56,96.38,81,147.50,44,100,99999,160,123,418,1380,750,14353,113463,10895,11617,56687,31272,4,1473,4,4,0,0,23,27,42,5,12.00,0,6,27,5.00,14.00,85,173.00,11586,2944,898093260,30,2050.0,157.69230769230768,70.0
쩐다,엘리시움,나이트워커,290,47.67,2024-06-23T00:00+09:00,0,0,48,210450023,247588261,94.00,577.00,39.15,96.52,90,129.80,75,100,80465,170,123,419,1350,750,10562,12572,10577,111068,46991,24771,4,4,4,1468,0,0,25,18,50,6,12.00,0,6,7,5.00,14.00,85,191.00,11472,3320,876094222,30,2070.0,159.23076923076923,90.0
윤상,루나,듀얼블레이더,292,28.781,2017-05-10T00:00+09:00,94,873,1967,102038640,112130372,96.00,366.00,53.95,81.98,124,90.20,76,100,91039,160,123,307,1350,750,6783,9132,6736,67320,50125,29363,4,4,4,1478,0,-198,349,254,130,6,106.00,5,6,0,5.00,0.00,91,731.00,10023,1810,282774957,12,2070.0,159.23076923076923,90.0
퍼킹빚취,엘리시움,듀얼블레이더,290,59.607,2020-08-12T00:00+09:00,59,654,406,172115061,191238955,66.00,560.00,53.95,93.16,100,121.45,75,100,99999,160,123,443,1350,690,11307,15554,10713,106330,50883,24711,4,4,4,1468,0,0,49,48,87,6,12.00,5,6,7,5.00,6.00,90,170.00,12730,3029,873563060,10,2010.0,154.6153846153846,30.0
도스석궁,크로아,신궁,292,33.582,2020-02-15T00:00+09:00,96,825,577,212593692,250110224,90.00,554.00,80.34,97.51,200,131.65,50,100,99999,160,123,423,1350,750,14721,109050,10873,10602,60531,26777,4,1478,4,4,0,0,25,25,55,4,12.00,0,6,0,5.00,14.00,85,191.00,11991,3066,871214704,10,2070.0,159.23076923076923,90.0
안녕별잇,유니온,아란,298,19.025,2009-07-09T00:00+09:00,96,836,4420,243145348,270161497,121.00,554.00,45.20,97.17,90,114.90,69,100,99999,160,123,425,1350,770,109549,15614,10803,12684,75838,22598,1508,4,4,4,2286,-265,27,31,52,5,12.00,0,6,0,5.00,13.00,90,214.00,12451,3052,877057389,0,2090.0,160.76923076923077,110.0
매수,베라,호영,293,25.684,2020-06-26T00:00+09:00,89,872,489,161447142,177414440,77.00,451.00,143.66,95.53,107,140.60,75,100,66527,160,123,300,1350,750,6459,9302,6442,75074,60429,38882,4,4,4,1483,0,0,269,143,132,6,95.00,0,6,7,5.00,0.00,91,291.00,10221,2367,382340078,42,2070.0,159.23076923076923,90.0
버러지,루나,듀얼블레이더,288,72.089,2015-09-20T00:00+09:00,91,873,-140,192200702,211209561,85.00,570.00,53.95,95.21,100,125.80,86,100,99999,170,123,453,1365,660,13921,16937,12942,107128,51725,24670,4,4,4,1458,0,-252,36,4,63,6,12.00,5,6,7,5.00,14.00,91,82.00,12418,3089,943990174,10,1980.0,152.30769230769232,0.0
해류,오로라,히어로,291,76.143,2020-07-18T00:00+09:00,91,890,149,283443850,314937608,112.00,445.00,247.88,97.69,112,142.50,75,100,99999,168,123,285,1350,750,72982,9570,6425,6209,86198,39225,1473,4,4,4,0,150,339,237,92,4,81.00,2,6,7,5.00,0.00,90,716.00,9836,2061,360117084,12,2070.0,159.23076923076923,90.0
듀오,베라,듀얼블레이더,293,3.255,2020-07-24T00:00+09:00,90,895,1992,169674326,188527027,87.00,566.00,53.95,94.88,87,121.35,76,100,99999,160,123,437,1350,750,14111,17178,13094,103565,50055,24673,4,4,4,1483,0,0,25,30,74,6,12.00,5,6,7,5.00,14.00,90,179.00,11306,2734,858257388,32,2070.0,159.23076923076923,90.0
하람,베라,바이퍼,290,15.13,2024-05-05T00:00+09:00,0,0,836,318438977,349932940,149.00,613.00,36.73,98.49,59,158.00,60,100,99999,160,123,421,1460,750,114018,14329,10629,10978,72671,28641,1468,4,4,4,-210,0,22,26,65,5,12.00,0,6,7,5.00,14.00,91,207.00,12853,3177,846449455,12,2040.0,156.92307692307693,60.0
꼬잡잉,스카니아,메카닉,295,1.678,2020-07-03T00:00+09:00,95,892,109,181405791,210936964,180.00,401.00,71.82,92.98,123,134.20,107,100,64574,160,123,297,1380,770,9690,69269,5603,5405,97908,70061,4,1493,4,4,0,0,321,256,55,5,117.00,6,6,7,5.00,0.00,86,634.00,10193,2389,342764874,12,2090.0,160.76923076923077,110.0
윈드,스카니아,윈드브레이커,294,16.383,2019-07-06T00:00+09:00,93,878,174,184159091,214138476,112.00,388.00,79.37,94.00,156,122.75,70,100,62304,170,123,283,1350,760,9336,79133,5429,6825,72402,41774,4,1488,4,4,0,0,270,171,55,4,118.00,5,6,7,5.00,0.00,86,605.00,13293,2781,411566007,12,2080.0,160.0,100.0
개사기,스카니아,에반,293,18.32,2019-09-24T00:00+09:00,97,895,392,112490215,118410751,71.00,345.00,67.31,94.35,112,126.20,64,100,25858,160,123,290,1350,750,5224,4960,71517,7638,53708,101965,4,4,1483,4,0,0,245,145,55,4,105.00,2,6,7,5.00,0.00,95,256.00,2453,11743,301933192,10,2070.0,159.23076923076923,90.0
아침보름,베라,제논,293,80.122,2018-06-22T00:00+09:00,96,867,599,124083895,137870993,131.00,414.00,26.50,95.35,96,129.25,85,100,91879,160,123,291,1380,750,32746,35044,10300,39632,106512,75286,330,335,4,826,0,0,245,142,55,5,94.00,5,6,0,5.00,6.00,90,254.00,8366,1885,283453379,10,2070.0,159.23076923076923,90.0
꿈달,베라,메르세데스,291,75.222,2011-07-21T00:00+09:00,84,874,597,223122999,259445345,101.00,623.00,74.69,97.13,210,119.15,54,100,83680,165,123,418,1460,750,14999,105367,11858,10158,50082,24039,4,1473,4,4,-457,-235,25,29,55,4,22.00,2,6,7,5.00,14.00,86,171.00,13022,2927,817707602,10,2070.0,159.23076923076923,90.0
툭촉,베라,듀얼블레이더,288,61.157,2012-11-14T00:00+09:00,88,897,154,201168104,223520115,72.00,520.00,53.95,95.35,87,114.75,55,100,99999,170,123,452,1350,660,15950,19514,14714,105653,49940,30548,4,4,4,1458,156,66,12,8,90,6,12.00,5,6,3,5.00,13.00,90,72.00,14175,3271,976825357,12,1980.0,152.30769230769232,0.0
회장,베라,팬텀,290,41.514,2024-07-29T00:00+09:00,99,885,3517,251021243,278912490,106.00,533.00,88.76,97.53,90,117.45,78,100,75342,170,123,408,1350,770,8596,11073,8448,106890,56110,30852,4,4,4,1468,0,0,27,24,60,5,12.00,5,6,17,5.00,14.00,90,197.00,12579,2898,835745336,0,2090.0,160.76923076923077,110.0
강동원,베라,히어로,293,9.737,2021-02-06T00:00+09:00,92,879,4320,287056780,318951973,113.00,483.00,268.75,96.74,104,142.25,75,100,99999,160,123,309,1380,760,75061,8361,5912,5683,83778,29913,1483,4,4,4,0,0,340,254,55,4,118.00,3,6,0,5.00,0.00,90,593.00,9138,2116,348671439,10,2080.0,160.0,100.0
로멘아란,크로아,아란,294,59.494,2020-06-27T00:00+09:00,92,862,524,149065288,163808007,190.00,425.00,46.41,92.61,100,140.50,85,100,99999,160,123,291,1350,770,69213,7061,4694,4868,73301,36167,1488,4,4,4,0,0,291,256,55,5,149.00,0,6,7,5.00,6.00,91,714.00,9120,2223,284993533,10,2090.0,160.76923076923077,110.0
스고용,루나,팔라딘,291,87.108,2020-03-28T00:00+09:00,83,875,832,147400582,163778423,63.00,566.00,54.00,95.75,88,132.85,91,100,99999,160,123,430,1460,750,100423,13295,9622,9629,86365,22918,1473,4,4,4,0,0,25,17,63,4,12.00,4,6,7,5.00,14.00,90,183.00,11733,3125,829275882,10,2070.0,159.23076923076923,90.0
리스크,제니스,배틀메이지,292,69.901,2010-07-22T00:00+09:00,96,835,843,134135511,139724488,145.00,332.00,74.46,92.22,171,115.85,59,100,66312,170,123,274,1350,750,5707,5408,64124,7471,122962,60965,4,4,1478,4,-371,8966,334,258,60,4,106.00,2,6,0,5.00,0.00,96,754.00,2329,10320,230161237,10,2070.0,159.23076923076923,90.0
밴티,오로라,칼리,293,54.14,2023-06-29T00:00+09:00,95,866,410,228241264,253601403,78.00,549.00,100.20,97.74,90,138.15,59,100,79687,160,123,422,1370,760,11088,14646,10789,104920,50424,28925,4,4,4,1483,500,550,26,30,50,6,12.00,5,6,27,5.00,14.00,90,193.00,12604,2996,824069179,10,2080.0,160.0,100.0
노잼,엘리시움,배틀메이지,292,69.444,2020-02-15T00:00+09:00,96,882,491,267627473,278778616,105.00,526.00,74.46,97.53,100,153.20,59,100,99999,170,123,433,1350,750,11464,11912,103269,14951,127362,44308,4,4,1478,4,0,0,47,23,78,4,12.00,4,6,0,5.00,14.00,96,185.00,3540,15176,822818843,10,2050.0,157.69230769230768,70.0
바글,스카니아,"아크메이지(썬,콜)",291,12.076,2010-05-26T00:00+09:00,89,876,1223,199080952,207375989,289.00,378.00,54.00,91.50,116,109.50,69,100,29840,170,123,291,1350,760,6087,5472,72471,8991,55460,125540,4,4,1473,4,-468,16216,270,133,203,4,98.00,0,6,3,15.00,0.00,96,669.50,2493,9652,322736065,20,2080.0,160.0,100.0
다소나,루나,비숍,292,75.584,2022-05-09T00:00+09:00,93,877,282,123004825,129478761,79.00,363.00,58.73,94.59,120,110.85,80,100,31615,160,123,321,1380,750,7432,7273,83626,10353,50706,97324,4,4,1478,4,0,0,140,144,212,4,89.00,0,6,3,15.00,0.00,95,243.00,2628,11012,425477580,10,2070.0,159.23076923076923,90.0
메주,루나,칼리,290,16.631,2023-07-07T00:00+09:00,79,855,89,232755968,258617740,75.00,613.00,100.20,98.35,90,138.45,53,100,80302,160,123,429,1360,690,10475,14818,10957,106501,60056,33446,4,4,4,1468,500,550,89,48,30,6,12.00,5,6,27,5.00,14.00,90,142.00,12881,3397,819619313,20,2010.0,154.6153846153846,30.0
현건,베라,캐논마스터,292,60.703,2020-03-06T00:00+09:00,93,871,8347,207555740,244183222,72.00,593.00,73.42,97.26,90,114.55,64,100,99999,160,123,421,1360,790,103895,15157,11850,11734,67651,36506,1478,4,4,4,0,0,26,31,73,2,12.00,5,6,7,5.00,14.00,85,170.00,12670,3137,819345928,12,2080.0,160.0,100.0
도둑별,스카니아,제논,291,19.263,2024-07-30T00:00+09:00,89,867,85,261752693,290836324,113.00,533.00,26.50,97.81,90,109.55,70,100,99999,160,123,423,1370,760,53028,59585,22918,63745,93844,65903,330,330,4,821,0,0,24,26,50,5,12.00,3,6,0,5.00,14.00,90,188.00,11658,3047,817806500,10,2060.0,158.46153846153845,80.0
롱잽,유니온,데몬어벤져,294,44.771,2016-09-09T00:00+09:00,93,900,532,146829460,161351053,97.00,359.00,73.94,91.58,111,106.85,45,100,52020,160,123,324,1350,760,5560,4286,3158,2630,500000,,4,4,4,4,22251,0,185,151,71,4,103.00,2,6,7,5.00,6.00,91,295.00,8687,2041,361195969,10,2090.0,160.76923076923077,110.0
스꺼,크로아,스트라이커,293,57.442,2017-09-26T00:00+09:00,93,876,5870,160516653,176391925,116.00,328.00,62.50,94.85,127,142.55,71,100,99999,160,123,327,1380,750,71658,8957,6103,5680,65128,38068,1483,4,4,4,-454,-454,334,198,50,5,114.00,2,6,7,5.00,6.00,91,589.00,10001,2367,304376446,0,2070.0,159.23076923076923,90.0
예롬,엘리시움,메르세데스,292,74.965,2023-07-02T00:00+09:00,70,873,104,115496618,135878372,119.00,372.00,73.25,93.84,110,119.00,65,100,56899,165,123,315,1350,750,9903,69018,6622,5687,42984,27930,4,1478,4,4,0,0,245,144,73,4,116.00,6,6,7,5.00,6.00,85,254.00,9633,2108,315690035,10,2070.0,159.23076923076923,90.0
넘버원충남대,루나,나이트워커,293,52.034,2016-06-30T00:00+09:00,89,889,528,614035059,713994250,279.00,647.00,83.68,97.99,110,182.80,75,100,83369,160,123,424,1370,750,12131,16408,13151,108937,52604,27680,4,4,4,1483,-413,-224,49,29,62,6,12.00,0,6,7,5.00,14.00,86,224.00,12962,4061,874900809,12,2070.0,159.23076923076923,90.0
군함,루나,캡틴,293,76.545,2017-02-15T00:00+09:00,87,882,6693,106630063,123988444,99.00,529.00,42.56,97.68,115,182.15,75,100,67707,160,123,276,1350,750,9499,69214,6342,6076,68982,53788,4,1483,4,4,0,-517,275,192,74,5,12.00,2,6,7,5.00,6.00,86,265.00,10175,2023,358379850,12,2070.0,159.23076923076923,90.0
귤민,크로아,메르세데스,286,98.906,2020-01-20T00:00+09:00,67,885,170,312059254,362859596,143.00,592.00,74.69,97.56,219,170.00,69,100,84041,165,123,421,1380,660,14477,107374,10630,10475,54008,26812,4,1448,4,4,0,0,36,17,53,4,22.00,1,6,0,5.00,8.00,86,174.00,14810,3472,799082417,12,1980.0,152.30769230769232,0.0
창세,베라,다크나이트,292,43.792,2017-09-29T00:00+09:00,97,862,270,314453383,349392646,99.00,596.00,122.75,97.50,89,175.20,50,100,99999,160,123,418,1380,750,106569,14228,10721,9670,90960,22520,1478,4,4,4,350,-167,23,27,73,4,12.00,6,6,17,5.00,14.00,90,186.00,12009,3132,802143904,0,2050.0,157.69230769230768,70.0
독서,엘리시움,나이트로드,291,72.708,2021-03-13T00:00+09:00,91,886,187,103264844,121488051,71.00,434.00,61.77,90.98,94,108.35,87,100,56894,168,123,327,1390,750,7478,9511,6481,71723,52998,26862,4,4,4,1473,0,0,245,143,55,6,96.00,0,6,0,5.00,6.00,85,256.00,8467,2086,311168433,0,2070.0,159.23076923076923,90.0
랭주,엘리시움,나이트로드,293,8.081,2015-09-18T00:00+09:00,93,898,428,108208747,125824122,89.00,418.00,61.77,93.11,119,118.75,74,100,54012,160,123,284,1370,750,5068,8264,4742,67700,48074,35010,4,4,4,1483,-521,-266,289,251,55,6,106.00,0,6,7,5.00,0.00,86,580.25,8427,2008,280610443,10,2070.0,159.23076923076923,90.0
뼈묠,제니스,팔라딘,296,42.83,2006-12-12T00:00+09:00,67,886,1175,132907278,146051951,122.00,383.00,89.00,93.01,109,119.35,95,100,99999,160,123,256,1350,760,65737,9916,6637,6124,111247,43205,1498,4,4,4,350,-176,270,254,50,4,103.00,5,6,7,5.00,0.00,91,553.00,9520,1940,292523818,10,2080.0,160.0,100.0
솔애,루나,아크,291,27.538,2020-08-28T00:00+09:00,89,896,1533,98898091,109886766,73.00,433.00,55.23,93.95,99,116.75,84,100,99999,165,123,297,1350,750,71849,8554,5446,5986,59889,51903,1473,4,4,4,0,0,244,143,55,5,114.00,2,6,7,5.00,6.00,90,164.00,8133,2021,292565174,10,2060.0,158.46153846153845,80.0
먼지배코,루나,아델,291,6.415,2022-07-01T00:00+09:00,83,888,3181,260578151,289531277,131.00,593.00,67.31,96.09,89,142.80,59,100,99999,160,123,428,1350,760,104587,16237,11503,12549,85641,24906,1473,4,4,4,0,0,26,30,65,6,12.00,5,6,17,5.00,14.00,90,162.00,13260,3311,793391167,10,2080.0,160.0,100.0
함다연,엘리시움,소울마스터,293,65.429,2018-07-24T00:00+09:00,96,879,227,330668416,363371884,127.00,578.00,75.45,98.76,111,180.55,80,100,99999,170,123,484,1460,760,105897,14894,11886,11036,71774,20797,1483,4,4,4,0,0,36,31,95,4,12.00,2,6,7,5.00,14.00,91,275.00,15528,4337,806366925,20,2080.0,160.0,100.0
지닐,크로아,다크나이트,292,42.516,2012-01-01T00:00+09:00,76,885,2334,307728951,338163680,77.00,419.00,169.28,92.54,106,143.55,50,100,99999,160,123,412,1350,760,105640,14495,11890,11347,90006,23349,1478,4,4,4,-458,-241,70,34,55,4,133.00,5,6,7,5.00,0.00,91,303.00,10895,3033,625089057,10,2080.0,160.0,100.0
몇시,스카니아,바이퍼,289,86.71,2023-08-22T00:00+09:00,93,864,1042,99723813,109586607,69.00,353.00,36.73,94.66,105,107.80,75,100,99999,160,123,269,1380,660,68005,8719,4969,4832,80136,44487,1463,4,4,4,-330,0,266,132,68,5,117.00,0,6,0,5.00,0.00,91,302.00,9937,2105,279109984,10,1980.0,152.30769230769232,0.0
소곤,베라,엔젤릭버스터,293,29.384,2023-12-23T00:00+09:00,95,897,82,264937440,278881514,86.00,526.00,75.25,96.87,90,122.15,84,100,86308,165,123,418,1350,760,15165,106264,11113,11383,54546,29795,4,1483,4,4,0,0,26,30,94,5,12.00,5,6,7,5.00,13.00,95,193.00,11432,2904,783960974,12,2080.0,160.0,100.0
꼬냑,베라,키네시스,290,85.727,2016-07-04T00:00+09:00,80,884,217,159688994,161302012,114.00,455.00,112.52,92.40,117,116.75,71,100,30458,160,123,293,1380,750,6486,4980,67678,8223,76737,,4,4,1468,4,-403,0,263,143,75,4,99.00,0,6,7,5.00,0.00,99,285.00,2628,10596,344734892,10,2060.0,158.46153846153845,80.0
잔디,스카니아,비숍,292,83.014,2015-01-16T00:00+09:00,91,882,1321,97155668,102269123,77.00,354.00,68.25,93.61,128,104.45,89,100,28655,160,123,302,1350,760,6308,6662,71186,9640,45591,88326,4,4,1478,4,0,-249,276,134,203,4,125.00,0,6,7,15.00,0.00,95,370.00,2568,9721,290163341,10,2080.0,160.0,100.0
소질,크로아,패스파인더,294,29.477,2020-05-01T00:00+09:00,94,888,844,142365281,165541023,71.00,600.00,45.20,96.84,220,109.45,103,100,99999,160,123,417,1350,760,15055,105523,10687,11194,65266,25616,4,1488,4,4,0,0,50,30,55,4,12.00,4,6,27,5.00,6.00,86,230.00,11732,2938,784577726,10,2080.0,160.0,100.0
섀둬씨,유니온,섀도어,292,15.331,2013-07-04T00:00+09:00,86,890,1033,207258974,227757113,94.00,532.00,77.05,97.54,101,148.15,73,100,99999,160,123,414,1350,750,11720,15016,11265,101973,51507,29359,4,4,4,1478,-389,-250,49,49,65,6,12.00,3,6,7,5.00,14.00,91,198.00,11736,2792,781004762,10,2070.0,159.23076923076923,90.0
카타리나,엘리시움,히어로,289,63.868,2021-09-02T00:00+09:00,65,868,85,439071881,487857642,99.00,631.00,232.75,97.62,111,180.65,75,100,99999,160,123,420,1360,660,102215,14048,10452,11082,91143,24172,1463,4,4,4,0,0,12,16,92,4,12.00,5,6,0,5.00,14.00,90,159.50,12098,3148,781305780,20,1980.0,152.30769230769232,0.0
검정,스카니아,다크나이트,293,48.253,2023-07-06T00:00+09:00,84,881,400,135284197,150315772,76.00,299.00,122.75,91.48,109,127.15,65,100,99999,160,123,274,1350,760,63901,8838,5713,4974,83362,26376,1483,4,4,4,0,0,241,150,61,4,99.00,6,6,7,5.00,6.00,90,260.00,9731,1978,248566399,10,2080.0,160.0,100.0
으꾸,스카니아,나이트로드,295,37.014,2019-11-02T00:00+09:00,94,869,425,85871433,101025214,66.00,437.00,61.77,94.24,115,114.15,74,100,52194,168,123,261,1350,750,6715,8634,6281,67649,61775,39637,4,4,4,1493,0,0,255,145,62,6,103.00,0,6,7,5.00,6.00,85,336.00,7699,1916,283771640,12,2070.0,159.23076923076923,90.0
블랙잭,엘리시움,팬텀,292,65.306,2021-07-31T00:00+09:00,97,855,475,175088918,192405402,125.00,372.00,88.76,94.40,101,115.80,95,100,59633,168,123,367,1370,750,7356,9869,6760,77895,72412,51989,4,4,4,1478,0,0,299,239,130,5,113.00,7,6,7,5.00,0.00,91,761.00,10841,2427,384286148,10,2070.0,159.23076923076923,90.0
퍼니,스카니아,윈드브레이커,294,4.606,2014-02-06T00:00+09:00,98,886,382,84034633,98864272,101.00,344.00,78.05,93.54,142,107.80,75,100,55711,160,123,271,1350,770,8787,68363,5663,5646,49303,33267,4,1488,4,4,-303,-143,162,127,55,4,96.00,6,6,7,5.00,0.00,85,246.00,7529,2072,186685415,0,2090.0,160.76923076923077,110.0
더비,오로라,아델,291,18.458,2020-12-17T00:00+09:00,94,885,790,236797798,263108662,126.00,597.00,67.31,96.38,89,143.45,58,100,99999,160,123,415,1360,740,104115,15651,12664,11557,83243,24766,1473,4,4,4,0,0,24,28,60,6,12.00,5,6,17,5.00,14.00,90,142.00,12387,2893,807139773,10,2060.0,158.46153846153845,80.0
조교,크로아,나이트로드,295,25.481,2018-07-19T00:00+09:00,95,857,353,192674141,226675459,83.00,581.00,61.77,97.68,104,133.10,60,100,72469,160,123,416,1350,760,8436,10923,8903,100758,48051,22515,4,4,4,1493,0,0,26,30,77,6,12.00,2,6,7,5.00,14.00,85,170.00,10570,2999,762568835,10,2080.0,160.0,100.0
유투브,루나,제논,287,44.652,2017-01-08T00:00+09:00,93,879,113,254016207,282240229,111.00,527.00,26.50,97.43,77,107.45,69,100,99999,168,123,426,1350,610,52898,56868,22079,63373,71436,40263,330,330,4,801,0,0,12,16,74,5,12.00,5,6,7,5.00,14.00,90,84.00,11633,3018,816335465,10,1930.0,148.46153846153845,0.0
염마,노바,듀얼블레이더,294,61.154,2014-08-05T00:00+09:00,96,900,901,83920919,93245465,75.00,413.00,53.95,89.62,101,103.10,74,100,91214,170,123,333,1350,780,7916,10224,6584,68937,58458,38231,4,4,4,1488,26,25,167,146,105,6,64.00,5,6,3,5.00,0.00,90,252.00,9059,2090,328180693,10,2090.0,160.76923076923077,110.0
노어,스카니아,데몬어벤져,293,69.061,2016-07-05T00:00+09:00,94,872,102,99307748,110341941,115.00,291.00,39.15,85.76,112,103.85,44,100,45160,160,123,298,1400,750,4303,3992,2590,1858,500000,,4,4,4,4,22176,0,244,142,65,4,137.00,2,6,7,5.00,0.00,90,361.75,8097,1898,257128524,10,2060.0,158.46153846153845,80.0
르끼,베라,나이트워커,287,3.0,2022-07-23T00:00+09:00,55,858,21,120111030,139663986,120.00,477.00,66.98,95.44,101,126.60,84,100,53446,160,123,301,1350,660,5859,9757,5597,65375,42626,32482,4,4,4,1453,0,0,254,128,65,6,70.00,0,6,0,5.00,0.00,86,135.00,8009,2278,296179953,20,1980.0,152.30769230769232,0.0
니죄,스카니아,듀얼블레이더,291,26.585,2011-08-10T00:00+09:00,84,856,11703,78127067,86807851,66.00,479.00,39.96,95.72,108,114.05,58,100,99999,160,123,421,1360,730,11621,14344,10847,92496,56684,25092,4,4,4,1473,0,-219,23,28,55,7,12.00,4,6,0,5.00,14.00,90,81.00,7259,2761,367078977,0,2050.0,157.69230769230768,70.0
라쓰,루나,듀얼블레이더,294,52.612,2010-09-21T00:00+09:00,91,869,421,110916841,121886637,66.00,374.00,117.07,83.61,120,110.15,74,100,91322,160,123,309,1350,750,7500,10885,7728,66902,51573,32572,4,4,4,1488,1030,1247,269,145,128,6,95.00,5,6,7,5.00,0.00,91,291.00,9098,1917,289830130,10,2070.0,159.23076923076923,90.0
기이얀,엘리시움,캡틴,291,58.14,2020-10-19T00:00+09:00,92,897,73,87080537,102447689,75.00,568.00,42.56,96.41,93,134.80,59,100,73048,170,123,315,1350,750,9103,78614,5765,6411,69687,45240,4,1473,4,4,0,0,170,86,74,5,20.00,0,6,7,5.00,6.00,85,166.00,8461,2312,431961263,12,2070.0,159.23076923076923,90.0
Asnah,베라,나이트로드,290,27.545,2019-03-01T00:00+09:00,76,881,3700,220469295,256359643,77.00,505.00,61.77,97.09,114,129.45,59,100,78745,160,123,416,1350,750,10954,13219,9983,105570,59937,31971,4,4,4,1468,0,0,25,29,56,6,12.00,0,6,7,5.00,14.00,86,164.00,11748,2805,758145406,10,2080.0,160.0,100.0
슬라,루나,데몬어벤져,291,75.766,2014-09-21T00:00+09:00,91,891,382,90950164,101055736,116.00,385.00,39.15,92.01,94,96.45,43,100,44970,160,123,276,1350,760,4124,3715,2990,2463,500000,,4,4,4,4,22026,0,215,144,90,4,68.00,2,6,7,5.00,0.00,90,251.00,7421,1742,273643373,10,2070.0,159.23076923076923,90.0
비올팬,엘리시움,팬텀,295,67.563,2012-01-12T00:00+09:00,97,866,8868,234432525,260480581,109.00,569.00,88.76,97.42,90,121.15,75,100,77883,168,123,417,1350,760,10051,12363,9016,107437,48825,29661,4,4,4,1493,-444,-189,26,31,90,5,12.00,5,6,17,5.00,14.00,90,195.00,11488,2893,830160179,0,2080.0,160.0,100.0
클빙,엘리시움,메르세데스,291,59.59,2011-08-06T00:00+09:00,66,594,416,130797221,152089790,152.00,436.00,88.67,93.73,121,134.10,69,100,53868,165,123,280,1350,750,7212,60104,5114,5195,40780,29326,4,1473,4,4,-449,-235,334,258,85,4,127.00,1,6,0,5.00,6.00,86,794.00,9937,1752,224150513,0,2070.0,159.23076923076923,90.0
쿨러,오로라,에반,291,23.033,2016-09-12T00:00+09:00,93,854,344,189186244,197069003,61.00,535.00,67.31,97.64,100,142.85,49,100,40942,160,123,443,1350,760,9803,10175,108151,14428,36723,75190,4,4,1473,4,-15,-15,50,30,63,4,12.00,2,6,27,15.00,14.00,96,203.00,3431,13638,765410734,10,2080.0,160.0,100.0
냔우,오로라,에반,291,8.287,2017-05-15T00:00+09:00,91,900,869,161343359,169835113,63.00,624.00,67.31,96.74,90,138.45,48,100,39035,160,123,438,1350,750,8623,9290,104785,14160,55330,80654,4,4,1473,4,-410,-408,23,15,54,4,12.00,2,6,16,5.00,13.00,95,124.00,3378,11977,752160731,10,2050.0,157.69230769230768,70.0
