character_level,character_exp_rate,dojang_best_floor,dojang_best_time,최소 스탯공격력,최대 스탯공격력,데미지,보스 몬스터 데미지,최종 데미지,방어율 무시,크리티컬 확률,크리티컬 데미지,상태이상 내성,방어력,이동속도,스타포스,STR,DEX,INT,LUK,HP,MP,아이템 드롭률,메소 획득량,버프 지속시간,공격 속도,일반 몬스터 데미지,재사용 대기시간 감소 (초),재사용 대기시간 감소 (%),재사용 대기시간 미적용,속성 내성 무시,상태이상 추가 데미지,무기 숙련도,추가 경험치 획득,공격력,마력,전투력,소환수 지속시간 증가,force_sum,force_mean,force_min
292,0.47568,99,896,19.739509822477054,19.84487033198357,101.0,475.0,67.31,0.9699,0.89,126.55,0.59,11.512925464970229,160,470,11.69810958737766,9.642707033281853,9.412055975876772,9.360655132635051,11.49707043564613,10.45339926500932,0.26,0.18,0.71,6,12.0,7,0.06,0.17,0.05,0.14,90,1.95,9.859013062434299,8.350666240520924,21.02543528574246,10,2080.0,160.0,100.0
285,0.70911,85,884,19.420137268358886,19.52549777996784,93.0,499.0,39.15,0.9702,0.84,110.9,0.3,11.017530178859595,160,446,8.633374945705647,8.47886807709457,8.10892415597534,8.169902647359145,13.122365377402328,,0.12,0.04,0.71,4,12.0,2,0.06,0.27,0.05,0.14,90,0.59,9.547526639331053,8.219056661060598,20.892626993578958,10,1950.0,150.0,0.0
294,0.8311799999999999,92,900,18.00724052401093,18.112601033620713,73.0,428.0,10.0,0.9309999999999999,0.73,114.15,0.74,11.512925464970229,170,276,11.129979878291934,8.963288275610298,8.676587243566487,8.475746001502063,11.196926219136667,10.537601032592947,2.47,1.45,1.15,4,132.0,5,0.06,0.0,0.05,0.06,90,3.12,9.237274373216264,7.749322464660356,19.62324470332214,10,2090.0,160.76923076923077,110.0
294,0.65747,100,898,18.684676446132123,18.835499324961436,92.0,411.0,74.76,0.8975,1.23,120.9,0.64,11.512925464970229,160,291,11.159416931230806,9.32259705432185,8.93247660846174,8.799963219506997,11.012973837756116,10.549176181936373,2.71,1.34,0.55,2,129.0,5,0.06,0.07,0.05,0.06,86,3.12,9.239996256883693,7.65728279297819,19.693344438573522,30,2090.0,160.76923076923077,110.0
287,0.17334,95,882,19.223512173349466,19.317822849505074,93.0,625.0,53.95,0.9606999999999999,1.0,119.55,0.52,11.512925464970229,160,459,9.634234615552714,9.874007247213619,9.57275879054198,11.60718964336031,10.910642230715403,10.297251130669952,0.33,0.13,0.46,6,12.0,5,0.06,0.0,0.05,0.14,91,1.72,9.502263438685219,8.109224953089955,20.7999502916879,10,1980.0,152.30769230769232,0.0
294,0.11764,97,857,19.366146763759154,19.41744005095948,122.0,544.0,54.0,0.9736,0.9,116.25,0.78,10.676877420772277,170,442,9.26416545867109,9.3940775929113,11.6141002325947,9.709235104874208,10.778518694158981,11.325872733800372,0.27,0.15,1.98,4,12.0,5,0.06,0.07,0.15,0.14,95,1.85,8.212568398234145,9.574149804815514,20.76687762213935,10,2090.0,160.76923076923077,110.0
293,0.92193,0,0,19.30570277377917,19.356996062801553,119.0,544.0,54.0,0.9551999999999999,0.92,108.5,0.65,10.569623183849224,170,444,9.15556734612889,9.110520036693972,11.622228199860679,9.447702360527948,10.716992229759807,11.298307963375454,0.27,0.31,2.02,4,52.0,5,0.06,0.0,0.15,0.14,95,2.17,8.244859395911256,9.527702598529375,20.690324303615963,10,2090.0,160.76923076923077,110.0
294,0.88992,75,865,19.224032923687677,19.31834359720284,73.0,669.0,89.0,0.9701000000000001,1.0,135.9,0.66,11.512925464970229,160,405,11.62731608622361,9.422867770827203,9.03336450150698,9.154827662045925,11.409452056493953,10.396139022323208,0.51,0.19,0.73,4,12.0,5,0.06,0.17,0.05,0.08,91,2.34,9.4054136126953,8.057694194815587,20.767878481705445,10,2090.0,160.76923076923077,110.0
294,0.04486,92,873,18.8484923716362,18.953852874255343,114.0,416.0,62.81,0.9516,1.1,105.8,0.85,11.512925464970229,160,284,11.143888713475615,9.117566971823829,8.74209519574531,8.722905701000768,11.311518943298806,10.90034393224985,2.9,2.54,0.6,5,125.0,5,0.06,0.07,0.05,0.0,90,6.95,9.217713126305595,7.68662133494462,19.529910108146705,15,2080.0,160.0,100.0
288,0.7077899999999999,89,890,18.3501806049654,18.455541108819734,64.0,375.0,53.95,0.8553000000000001,1.1,97.5,0.74,11.399051030769385,160,303,9.008835995765454,9.280052984387483,8.764990330169104,11.127086497997242,11.052206598601773,10.54563087050331,2.32,1.18,0.46,6,122.0,5,0.05,0.06,0.05,0.06,90,1.86,9.291736010180177,7.635786861395585,19.67604642815705,10,1980.0,152.30769230769232,0.0
