user_name,grade_ranking,season_grade_ranking,recent_win_rate,recent_kill_death_rate,recent_assault_rate,recent_sniper_rate,recent_special_rate,solo_rank_match_score,party_rank_match_score,is_win,is_draw,is_loss,kill,death,assist,total_matches,match_id,match_result,team_id,target
고구마지단,1144665.0,127179.0,0.0,37.666668,40.0,36.776859,27.666666,1400,1400,0,0,1,2,11,0,1,250721122527124001,,,
여심폭격기최인후,433328.0,28009.0,16.666668,42.5,43.0,51.0,38.666668,1400,1400,0,0,1,1,10,0,1,250721122527124001,,,
llllIlllllIIIllI,3072973.0,348981.0,50.0,42.166664,41.0,46.907215,34.666668,1683,1400,1,0,0,6,2,4,1,250721122527124001,,,
뽀로로롤,996599.0,136067.0,8.333334,36.333336,34.0,37.272728,52.941177,1400,1400,0,0,1,4,7,2,1,250807162422124001,,,
뽀로로롤,996599.0,136067.0,8.333334,36.333336,34.0,37.272728,52.941177,1400,1400,0,0,1,2,12,4,1,250807163350124002,2.0,0.0,0.0
깽나미,5347.0,25459.0,100.0,80.0,0.0,100.0,66.666664,1607,1400,1,0,0,10,2,1,1,250807162422124001,,,
진재훈,4212171.0,691336.0,5.0,38.833332,38.333332,40.0,48.096886,1400,1400,0,0,1,5,7,1,1,250807162422124001,,,
진재훈,4212171.0,691336.0,5.0,38.833332,38.333332,40.0,48.096886,1400,1400,0,0,1,7,11,0,1,250807163350124002,2.0,0.0,0.0
도룡잉,369702.0,144293.0,23.333334,38.5,39.666668,37.666668,38.666668,1400,1246,0,0,1,2,3,0,1,250807162422124001,,,
도룡잉,369702.0,144293.0,23.333334,38.5,39.666668,37.666668,38.666668,1400,1246,0,0,1,11,11,1,1,250807163350124002,2.0,0.0,0.0
화물연대인천지부,381900.0,201148.0,36.666668,57.833332,51.0,67.333336,50.666668,1400,1400,1,0,0,18,4,2,1,250807163350124002,1.0,1.0,1.0
화물연대부산지부,6299515.0,701422.0,5.0,28.0,26.333334,30.0,34.0,1400,1400,1,0,0,4,9,0,1,250807163350124002,1.0,1.0,1.0
양기헌,492489.0,885577.0,46.666668,48.833332,49.0,62.0,45.333332,1400,1400,0,0,1,1,6,1,1,250622023323125001,2.0,1.0,0.0
깜방,566515.0,73695.0,71.666664,62.0,59.666668,73.0,66.153847,2799,3081,1,0,0,6,2,2,1,250622023323125001,1.0,0.0,1.0
구남동상남자,376336.0,96524.0,41.666668,39.666668,39.333336,45.333332,37.666668,1414,1502,1,0,0,4,0,3,1,250622023323125001,1.0,0.0,1.0
트럼프,180146.0,64187.0,43.333332,42.5,41.666668,49.0,55.0,2007,2000,0,0,1,1,6,0,1,250622023323125001,2.0,1.0,0.0
오또깡,209527.0,31032.0,38.333332,41.0,40.333332,52.333332,39.666668,1435,1421,0,0,1,2,6,0,1,250622023323125001,2.0,1.0,0.0
머루하지,76737.0,102464.0,33.333336,56.166668,53.666668,67.0,50.943398,1569,1400,1,0,0,10,2,0,1,250423030347124001,1.0,0.0,1.0
플레이잼잼,69323.0,166696.0,55.263157,47.277935,0.0,0.0,47.0,1400,1400,1,0,0,4,3,2,1,250423030347124001,1.0,0.0,1.0
칠보장어,68.0,1005.0,75.0,55.5,31.25,33.333332,48.333332,1654,1500,0,0,1,2,7,0,1,250423030347124001,2.0,1.0,0.0
방갑숴,831565.0,223273.0,48.333332,56.833332,56.0,61.0,57.0,1713,2288,1,0,0,8,2,4,1,250423030347124001,1.0,0.0,1.0
아니도링,2100.0,47.0,98.333336,51.333332,58.333332,53.666668,51.0,2047,1950,0,0,1,0,1,0,1,250423030347124001,2.0,1.0,0.0
lIIlIllIlllIIIl,48465.0,24451.0,25.0,54.5,51.666664,65.666664,39.130436,1800,1828,1,0,0,23,9,2,1,250806204730124001,1.0,1.0,1.0
포도유유,1748421.0,168192.0,45.0,41.833332,38.666664,0.0,38.0,1400,1269,0,0,1,16,11,3,1,250806204730124001,2.0,0.0,0.0
포도우유아빠,731721.0,321457.0,46.666668,39.666668,39.666668,41.333332,38.333332,1400,1400,0,0,1,7,13,3,1,250806204730124001,2.0,0.0,0.0
色女,63.0,938.0,36.666668,39.666668,38.666664,36.666668,40.0,1169,1400,0,0,1,3,13,2,1,250806204730124001,2.0,0.0,0.0
여고생보직구멍,1373737.0,126962.0,16.666668,26.666668,24.333334,0.0,0.0,1554,1358,1,0,0,5,9,0,1,250806204730124001,1.0,1.0,1.0
으악기,749593.0,52475.0,45.0,48.666668,43.666668,62.333332,44.0,1538,1500,1,0,0,9,8,6,1,250806204730124001,1.0,1.0,1.0
정말,81.0,121.0,55.813957,55.263157,58.851677,0.0,55.555557,2999,2599,1,0,0,18,10,0,1,250806174632124003,1.0,1.0,1.0
Οl나경,466297.0,137388.0,1.666667,36.0,40.333332,49.333332,42.666668,1235,1400,1,0,0,5,12,1,1,250806174632124003,1.0,1.0,1.0
예천,683961.0,100314.0,43.333332,36.5,37.0,30.0,30.666666,1400,1368,1,0,0,1,3,0,1,250420192610124001,1.0,1.0,1.0
따뜻하게입고다녀,75.0,147.0,76.666664,67.333336,55.333332,86.0,63.666668,2656,2000,1,0,0,22,6,1,1,250420192610124001,1.0,1.0,1.0
야누스,71.0,53810.0,60.000004,61.0,55.666668,75.666664,52.666668,1500,1517,1,0,0,13,10,3,1,250609061353124001,1.0,1.0,1.0
예민보스해니,17064.0,731511.0,50.0,45.833336,43.666668,48.333332,48.0,1400,1333,1,0,0,7,10,3,1,250609061353124001,1.0,1.0,1.0
RedWhip,76145.0,319619.0,45.0,54.833336,53.666668,68.0,57.196968,1799,1594,1,0,0,16,11,2,1,250609061353124001,1.0,1.0,1.0
lullaby~♥,104.0,721.0,96.666664,66.166672,66.666672,82.666664,67.333336,2799,3892,1,0,0,15,10,2,1,250804121700124001,1.0,0.0,1.0
후후하하히히,2884545.0,1073910.0,20.0,56.333332,55.0,72.666664,41.666668,1400,1400,0,0,1,15,12,1,1,250804121700124001,2.0,1.0,0.0
체하나,2025845.0,211944.0,46.666668,37.0,30.0,51.333332,36.363636,1246,1400,0,0,1,5,13,3,1,250804121700124001,2.0,1.0,0.0
고도리1번,125.0,2979.0,51.666664,53.333336,52.333332,68.333336,50.666668,1799,1681,0,0,1,5,11,0,1,250806234618124001,2.0,1.0,0.0
하밥이,568369.0,28572.0,63.333332,48.833336,50.0,53.666668,52.0,2799,3176,1,0,0,9,5,2,1,250806234618124001,1.0,0.0,1.0
Melissa♡,225743.0,171596.0,64.705887,58.499996,0.0,68.333336,100.0,2862,1884,0,0,1,6,10,1,1,250806234618124001,2.0,1.0,0.0
