user_name,grade_ranking,season_grade_ranking,recent_win_rate,recent_kill_death_rate,recent_assault_rate,recent_sniper_rate,recent_special_rate,solo_rank_match_score,party_rank_match_score,is_win,is_draw,is_loss,kill,death,assist,total_matches,match_id,match_result,team_id,target
뿌냠이,46477.0,155728.0,100.0,61.0,64.0,78.0,100.0,1800,1400,1,0,0,11,15,4,1,250523212523124002,1.0,0.0,1.0
솔킬,842.0,231.0,56.666668,50.833332,50.0,64.666664,50.458717,2358,1800,1,0,0,8,13,0,1,250806215404124001,1.0,1.0,1.0
성북구성북동,319759.0,32413.0,36.666668,49.666668,49.666668,65.666664,57.333332,2101,1543,0,0,1,14,12,1,1,250806215404124001,2.0,0.0,0.0
흥,319.0,59333.0,100.0,61.666668,54.333336,73.333336,51.515152,3050,2400,1,0,0,10,6,0,1,250806215404124001,1.0,1.0,1.0
냉탄,278513.0,67789.0,50.0,56.5,59.666668,60.0,61.0,1445,1500,0,0,1,15,9,0,1,250426031519124001,2.0,0.0,0.0
시~놈~발~,242101.0,182738.0,38.333332,51.0,48.666668,48.0,50.333332,1500,1500,1,0,0,13,9,2,1,250426031519124001,1.0,1.0,1.0
BUKKAKE,595128.0,460510.0,51.666664,59.833336,61.333336,67.0,52.412281,1400,1400,0,0,1,10,14,6,1,250426031519124001,2.0,0.0,0.0
혈세,886.0,11960.0,50.0,44.5,41.0,54.0,41.666668,1703,1667,0,0,1,3,9,4,1,250803181304124002,2.0,1.0,0.0
ㅁㄴㅇㄹㄹ,116977.0,231381.0,41.666664,50.0,37.666668,58.333332,43.333332,1592,1400,1,0,0,14,4,1,1,250803181304124002,1.0,0.0,1.0
웅다미,981440.0,587424.0,21.666666,39.666668,36.666668,47.666668,33.333332,1463,1202,1,0,0,2,5,4,1,250803181304124002,1.0,0.0,1.0
매우서운,533570.0,158788.0,40.0,49.333336,45.333336,62.333332,49.0,1846,1687,1,0,0,11,6,5,1,250803181304124002,1.0,0.0,1.0
아포스뜨리,7213.0,22721.0,75.0,38.166664,40.666668,42.0,55.0,1750,1750,1,0,0,2,9,2,1,250806214919124001,1.0,1.0,1.0
이주헌,10192.0,41931.0,56.666668,54.333336,49.333336,48.333332,53.333332,1400,1400,1,0,0,19,5,3,1,250806214919124001,1.0,1.0,1.0
유삼,175419.0,46969.0,95.0,53.833336,46.666668,63.0,57.0,1865,1800,1,0,0,13,9,0,1,250806214919124001,1.0,1.0,1.0
아포스산드라,12333.0,209698.0,93.333336,57.0,57.0,62.0,55.333332,1400,1400,1,0,0,16,11,11,1,250806214919124001,1.0,1.0,1.0
아포스민츠,827.0,4383.0,98.333336,54.333336,59.333332,59.333332,67.796608,1800,2224,1,0,0,10,10,4,1,250806214919124001,1.0,1.0,1.0
ßd.선일,448812.0,133103.0,55.0,49.721706,49.295773,63.404255,0.0,1820,1746,0,0,1,10,12,0,1,250806214919124001,2.0,0.0,0.0
술잘사주는아저씨,824.0,134824.0,50.0,59.836067,100.0,71.264366,0.0,1400,1400,1,0,0,15,8,1,1,250807225502124002,1.0,1.0,1.0
BE폭력간디,298975.0,180041.0,53.333336,58.333332,54.333336,70.0,52.666668,1400,1400,0,0,1,11,9,1,1,250807225502124002,2.0,0.0,0.0
뱅구르기,423716.0,198712.0,51.666664,49.0,40.666668,63.333332,40.333332,1439,1500,0,0,1,8,11,2,1,250807225502124002,2.0,0.0,0.0
º마차이짬뽕º,82545.0,3711.0,50.0,55.5,52.666664,64.0,52.63158,1630,1437,1,0,0,9,10,5,1,250807225502124002,1.0,1.0,1.0
배팅,53605.0,5059.0,46.666668,52.666664,44.53125,63.0,50.333332,3074,3160,1,0,0,10,9,1,1,250807225502124002,1.0,1.0,1.0
진짜귀여움,87142.0,116102.0,50.0,38.0,29.333334,41.666668,33.0,1400,1400,1,0,0,5,8,1,1,250807225502124002,1.0,1.0,1.0
저걱3조장,904522.0,455283.0,0.0,39.833336,35.666664,47.666668,36.296295,1400,1400,0,0,1,3,7,0,1,250806204425124001,2.0,0.0,0.0
250601♡시작,3432988.0,347068.0,62.5,47.297295,46.0,6.25,0.0,1400,1622,1,0,0,5,6,3,1,250806204425124001,1.0,1.0,1.0
으읏,807.0,594.0,100.0,62.0,0.0,78.333336,58.011051,1591,1639,1,0,0,11,3,1,1,250806204425124001,1.0,1.0,1.0
가평미술관.,5563326.0,593944.0,37.254902,53.273808,46.846848,62.424244,44.444443,1371,1400,0,0,1,3,7,1,1,250806204425124001,2.0,0.0,0.0
BENZ♣,829536.0,94369.0,68.518517,48.333332,49.333336,0.0,50.0,1400,1400,1,0,0,4,2,3,1,250806204425124001,1.0,1.0,1.0
강보람,22291.0,76751.0,40.0,48.799999,52.380955,59.905659,60.0,1950,3222,0,0,1,10,14,3,1,250518030323124001,2.0,0.0,0.0
뜽민이♥,4152327.0,1524542.0,1.666667,36.166668,38.0,32.63158,30.526316,1400,1400,0,0,1,7,13,7,1,250524224224124001,2.0,1.0,0.0
업템포,759.0,3594.0,73.333336,62.833332,62.0,80.333336,55.0,1542,1750,0,0,1,17,12,1,1,250524224224124001,2.0,1.0,0.0
RING-GU,346592.0,92863.0,46.666668,54.833336,58.666664,68.333336,47.666668,1400,1514,1,0,0,11,9,0,1,250524224224124001,1.0,0.0,1.0
상처에소금을,668431.0,72830.0,40.0,46.0,45.666668,60.333332,38.333332,1517,1491,1,0,0,12,13,3,1,250524224224124001,1.0,0.0,1.0
RING_GU,149636.0,115909.0,50.0,44.833332,47.0,47.333332,44.333332,1400,1466,1,0,0,15,11,4,1,250524224224124001,1.0,0.0,1.0
서준티비,3540017.0,430030.0,41.666664,39.833336,37.948719,41.758244,41.666668,1400,1400,0,0,1,9,13,3,1,250524224224124001,2.0,1.0,0.0
후함함이,228637.0,96415.0,50.0,35.166664,38.0,43.333332,43.661972,1400,1400,0,0,1,8,6,2,1,250807005139124001,2.0,1.0,0.0
천사순수,947226.0,72894.0,41.666664,50.666664,48.666668,64.0,46.333332,2400,2400,0,0,1,5,8,5,1,250807005139124001,2.0,1.0,0.0
가은핑핑이,146980.0,113197.0,35.0,47.166668,45.0,59.333332,49.0,1854,2219,0,0,1,9,9,1,1,250807005139124001,2.0,1.0,0.0
학땁.,68885.0,75818.0,50.0,48.333332,50.0,56.666668,56.333332,3809,2450,0,0,1,7,7,2,1,250807005139124001,2.0,1.0,0.0
킥,21918.0,64949.0,48.333332,48.166664,50.333332,57.666668,47.0,3266,2400,0,0,1,6,8,0,1,250807005139124001,2.0,1.0,0.0
긱스,2438.0,40836.0,81.666664,60.833336,53.666668,76.0,62.068966,1652,2050,1,0,0,9,7,0,1,250807005139124001,1.0,0.0,1.0
J1hoon♡,11710.0,10345.0,88.333336,56.666668,55.0,67.666664,51.0,1400,1400,0,0,1,12,7,2,1,250807005139124001,2.0,1.0,0.0
위티,36592.0,43927.0,58.333332,53.500004,52.666664,63.333332,47.0,3961,2400,1,0,0,16,7,1,1,250807005139124001,1.0,0.0,1.0
갱스터,1730.0,64078.0,65.0,54.000004,53.264606,69.333336,61.53846,1800,1800,1,0,0,5,7,3,1,250807005139124001,1.0,0.0,1.0
흑인이싸면깜찍~,256419.0,57704.0,51.666664,54.000004,51.0,65.333336,50.0,3599,2631,1,0,0,5,9,5,1,250807005139124001,1.0,0.0,1.0
허혜미,4082.0,53256.0,48.333332,47.166668,47.666664,57.666668,48.333332,2273,1800,1,0,0,6,8,6,1,250807005139124001,1.0,0.0,1.0
대머리행주,12388748.0,1513430.0,12.5,31.292517,33.67347,31.578947,37.5,1400,1400,0,0,1,1,6,0,1,250807002017124001,2.0,1.0,0.0
Oneː하주,811.0,4222.0,95.0,58.833332,47.666664,80.333336,54.0,1750,1933,1,0,0,5,2,0,1,250807002017124001,1.0,0.0,1.0
03놈임,404478.0,283273.0,21.666666,46.666668,37.894737,59.0,0.0,1500,1500,0,0,1,2,6,0,1,250807002017124001,2.0,1.0,0.0
akffkd.,552057.0,57292.0,48.333332,44.166668,41.333332,53.666668,56.333332,1750,1890,1,0,0,9,9,7,1,250604230653124001,1.0,1.0,1.0
지현,706300.0,90953.0,55.0,55.666668,59.666668,73.333336,61.333332,1800,3157,0,0,1,0,0,0,1,250604230653124001,2.0,0.0,0.0
댕댕비rv,39189.0,13565.0,51.666664,58.499996,58.666664,71.666664,64.666664,2890,3173,0,0,1,8,10,2,1,250604230653124001,2.0,0.0,0.0
썸띵,149735.0,30799.0,61.666668,52.166664,51.0,72.0,53.0,1950,1800,1,0,0,11,11,4,1,250604230653124001,1.0,1.0,1.0
원포임원준,730.0,4260.0,45.0,64.5,63.333332,77.333336,68.333336,3030,2400,1,0,0,4,1,1,1,250731111340124001,1.0,0.0,1.0
WYPW,1179164.0,170406.0,58.333332,56.186611,59.661018,55.0,52.066116,2773,2375,1,0,0,2,2,1,1,250731111340124001,1.0,0.0,1.0
caIi2paris,794.0,74434.0,65.0,50.833332,53.666668,63.333332,49.0,2250,2400,1,0,0,17,6,0,1,250223212229124001,1.0,1,1.0
새냐,28984.0,150065.0,81.666664,50.666664,51.0,59.0,50.333332,1498,1800,1,0,0,3,11,1,1,250223212229124001,1.0,1,1.0
