user_name,is_win,is_draw,is_loss,kill,death,assist,total_matches,actual_win_rate,user_kda,user_kill,user_death,user_assist,kill_per_match,death_per_match,assist_per_match,match_id
고구마지단,0,0,1,2,11,0,1,0.0,0.1818181818181818,2,11,0,2.0,11.0,0.0,250721122527124001
여심폭격기최인후,0,0,1,1,10,0,1,0.0,0.1,1,10,0,1.0,10.0,0.0,250721122527124001
영민,1,0,0,12,1,1,1,1.0,13.0,12,1,1,12.0,1.0,1.0,250721122527124001
깽나미,1,0,0,10,2,1,1,1.0,5.5,10,2,1,10.0,2.0,1.0,250807162422124001
도룡잉,0,0,1,2,3,0,1,0.0,0.6666666666666666,2,3,0,2.0,3.0,0.0,250807162422124001
민덩이달려,1,0,0,3,5,3,1,1.0,1.2,3,5,3,3.0,5.0,3.0,250807162422124001
뽀로로롤,0,0,1,4,7,2,1,0.0,0.8571428571428571,4,7,2,4.0,7.0,2.0,250807162422124001
생수아저씨,1,0,0,8,6,1,1,1.0,1.5,8,6,1,8.0,6.0,1.0,250807162422124001
진재훈,0,0,1,5,7,1,1,0.0,0.8571428571428571,5,7,1,5.0,7.0,1.0,250807162422124001
Ioss,1,0,0,12,8,7,1,1.0,2.375,12,8,7,12.0,8.0,7.0,250807163350124002
도룡잉,0,0,1,11,11,1,1,0.0,1.0909090909090908,11,11,1,11.0,11.0,1.0,250807163350124002
뽀로로롤,0,0,1,2,12,4,1,0.0,0.5,2,12,4,2.0,12.0,4.0,250807163350124002
진재훈,0,0,1,7,11,0,1,0.0,0.6363636363636364,7,11,0,7.0,11.0,0.0,250807163350124002
화물연대부산지부,1,0,0,4,9,0,1,1.0,0.4444444444444444,4,9,0,4.0,9.0,0.0,250807163350124002
화물연대인천지부,1,0,0,18,4,2,1,1.0,5.0,18,4,2,18.0,4.0,2.0,250807163350124002
구남동상남자,1,0,0,4,0,3,1,1.0,7.0,4,0,3,4.0,0.0,3.0,250622023323125001
깜방,1,0,0,6,2,2,1,1.0,4.0,6,2,2,6.0,2.0,2.0,250622023323125001
마동석입니다,1,0,0,7,2,0,1,1.0,3.5,7,2,0,7.0,2.0,0.0,250622023323125001
양기헌,0,0,1,1,6,1,1,0.0,0.3333333333333333,1,6,1,1.0,6.0,1.0,250622023323125001
오또깡,0,0,1,2,6,0,1,0.0,0.3333333333333333,2,6,0,2.0,6.0,0.0,250622023323125001
트럼프,0,0,1,1,6,0,1,0.0,0.1666666666666666,1,6,0,1.0,6.0,0.0,250622023323125001
머루하지,1,0,0,10,2,0,1,1.0,5.0,10,2,0,10.0,2.0,0.0,250423030347124001
방갑숴,1,0,0,8,2,4,1,1.0,6.0,8,2,4,8.0,2.0,4.0,250423030347124001
아니도링,0,0,1,0,1,0,1,0.0,0.0,0,1,0,0.0,1.0,0.0,250423030347124001
왜잘하세요들,0,0,1,5,7,0,1,0.0,0.7142857142857143,5,7,0,5.0,7.0,0.0,250423030347124001
칠보장어,0,0,1,2,7,0,1,0.0,0.2857142857142857,2,7,0,2.0,7.0,0.0,250423030347124001
플레이잼잼,1,0,0,4,3,2,1,1.0,2.0,4,3,2,4.0,3.0,2.0,250423030347124001
lIIlIllIlllIIIl,1,0,0,23,9,2,1,1.0,2.7777777777777777,23,9,2,23.0,9.0,2.0,250806204730124001
色女,0,0,1,3,13,2,1,0.0,0.3846153846153846,3,13,2,3.0,13.0,2.0,250806204730124001
여고생보직구멍,1,0,0,5,9,0,1,1.0,0.5555555555555556,5,9,0,5.0,9.0,0.0,250806204730124001
으악기,1,0,0,9,8,6,1,1.0,1.875,9,8,6,9.0,8.0,6.0,250806204730124001
포도우유아빠,0,0,1,7,13,3,1,0.0,0.7692307692307693,7,13,3,7.0,13.0,3.0,250806204730124001
포도유유,0,0,1,16,11,3,1,0.0,1.7272727272727273,16,11,3,16.0,11.0,3.0,250806204730124001
(*_^),1,0,0,6,15,8,1,1.0,0.9333333333333332,6,15,8,6.0,15.0,8.0,250806174632124003
Οl나경,1,0,0,5,12,1,1,1.0,0.5,5,12,1,5.0,12.0,1.0,250806174632124003
쌀스나,0,0,1,9,12,3,1,0.0,1.0,9,12,3,9.0,12.0,3.0,250806174632124003
엔터클모중,0,0,1,22,10,0,1,0.0,2.2,22,10,0,22.0,10.0,0.0,250806174632124003
정말,1,0,0,18,10,0,1,1.0,1.8,18,10,0,18.0,10.0,0.0,250806174632124003
casarella,0,0,1,1,15,1,1,0.0,0.1333333333333333,1,15,1,1.0,15.0,1.0,250420192610124001
나쏘면니네엄마,1,0,0,14,14,6,1,1.0,1.4285714285714286,14,14,6,14.0,14.0,6.0,250420192610124001
따뜻하게입고다녀,1,0,0,22,6,1,1,1.0,3.8333333333333335,22,6,1,22.0,6.0,1.0,250420192610124001
예천,1,0,0,1,3,0,1,1.0,0.3333333333333333,1,3,0,1.0,3.0,0.0,250420192610124001
찐초보임.,0,0,1,10,12,3,1,0.0,1.0833333333333333,10,12,3,10.0,12.0,3.0,250420192610124001
틀래식,0,0,1,20,11,1,1,0.0,1.9090909090909087,20,11,1,20.0,11.0,1.0,250420192610124001
RedWhip,1,0,0,16,11,2,1,1.0,1.6363636363636365,16,11,2,16.0,11.0,2.0,250609061353124001
고양이덕배,0,0,1,10,14,4,1,0.0,1.0,10,14,4,10.0,14.0,4.0,250609061353124001
야누스,1,0,0,13,10,3,1,1.0,1.6,13,10,3,13.0,10.0,3.0,250609061353124001
엠티샬롯,0,0,1,15,10,0,1,0.0,1.5,15,10,0,15.0,10.0,0.0,250609061353124001
여진이짱예뻐,0,0,1,6,12,4,1,0.0,0.8333333333333334,6,12,4,6.0,12.0,4.0,250609061353124001
예민보스해니,1,0,0,7,10,3,1,1.0,1.0,7,10,3,7.0,10.0,3.0,250609061353124001
lullaby~♥,1,0,0,15,10,2,1,1.0,1.7,15,10,2,15.0,10.0,2.0,250804121700124001
우카,1,0,0,10,10,2,1,1.0,1.2,10,10,2,10.0,10.0,2.0,250804121700124001
체하나,0,0,1,5,13,3,1,0.0,0.6153846153846154,5,13,3,5.0,13.0,3.0,250804121700124001
후후하하히히,0,0,1,15,12,1,1,0.0,1.3333333333333333,15,12,1,15.0,12.0,1.0,250804121700124001
Melissa♡,0,0,1,6,10,1,1,0.0,0.7,6,10,1,6.0,10.0,1.0,250806234618124001
ceIebrity♡,1,0,0,11,6,0,1,1.0,1.8333333333333333,11,6,0,11.0,6.0,0.0,250806234618124001
고도리1번,0,0,1,5,11,0,1,0.0,0.4545454545454545,5,11,0,5.0,11.0,0.0,250806234618124001
하밥이,1,0,0,9,5,2,1,1.0,2.2,9,5,2,9.0,5.0,2.0,250806234618124001
lilitu,1,0,0,13,7,5,1,1.0,2.571428571428572,13,7,5,13.0,7.0,5.0,250807145954124001
고말순,1,0,0,13,9,4,1,1.0,1.8888888888888888,13,9,4,13.0,9.0,4.0,250807145954124001
시크릿언니,0,0,1,6,14,4,1,0.0,0.7142857142857143,6,14,4,6.0,14.0,4.0,250807145954124001
웅3잉,0,0,1,13,9,0,1,0.0,1.4444444444444444,13,9,0,13.0,9.0,0.0,250807145954124001
조금세,1,0,0,8,10,3,1,1.0,1.1,8,10,3,8.0,10.0,3.0,250807145954124001
MSR,1,0,0,6,7,2,1,1.0,1.1428571428571428,6,7,2,6.0,7.0,2.0,250806032445119001
[애옹],0,0,1,4,9,0,1,0.0,0.4444444444444444,4,9,0,4.0,9.0,0.0,250806032445119001
ㅆ놈,0,0,1,1,9,0,1,0.0,0.1111111111111111,1,9,0,1.0,9.0,0.0,250806032445119001
거친,1,0,0,9,5,4,1,1.0,2.6,9,5,4,9.0,5.0,4.0,250806032445119001
꼬끼옹,1,0,0,11,5,2,1,1.0,2.6,11,5,2,11.0,5.0,2.0,250806032445119001
마루는기여워,0,0,1,10,9,0,1,0.0,1.1111111111111112,10,9,0,10.0,9.0,0.0,250806032445119001
어재,1,0,0,15,5,2,1,1.0,3.4,15,5,2,15.0,5.0,2.0,250806032445119001
오늘의날,1,0,0,4,6,3,1,1.0,1.1666666666666667,4,6,3,4.0,6.0,3.0,250806032445119001
지능처참하다,0,0,1,7,9,0,1,0.0,0.7777777777777778,7,9,0,7.0,9.0,0.0,250806032445119001
cosala,1,0,0,20,9,1,1,1.0,2.333333333333333,20,9,1,20.0,9.0,1.0,250802002020124003
llllM,1,0,0,9,12,7,1,1.0,1.3333333333333333,9,12,7,9.0,12.0,7.0,250802002020124003
myway,0,0,1,11,13,3,1,0.0,1.0769230769230769,11,13,3,11.0,13.0,3.0,250802002020124003
ㄷㄷ,1,0,0,5,14,12,1,1.0,1.2142857142857142,5,14,12,5.0,14.0,12.0,250802002020124003
류호운츄로스,0,0,1,12,13,6,1,0.0,1.3846153846153846,12,13,6,12.0,13.0,6.0,250802002020124003
수민,0,0,1,13,12,4,1,0.0,1.4166666666666667,13,12,4,13.0,12.0,4.0,250802002020124003
승찬,0,0,1,13,12,4,1,0.0,1.4166666666666667,13,12,4,13.0,12.0,4.0,250802002020124003
창욱,1,0,0,5,5,3,1,1.0,1.6,5,5,3,5.0,5.0,3.0,250802002020124003
패좍계정,1,0,0,14,10,4,1,1.0,1.8,14,10,4,14.0,10.0,4.0,250802002020124003
해적,1,0,0,18,9,0,1,1.0,2.0,18,9,0,18.0,9.0,0.0,250802002020124003
tova,1,0,0,12,6,0,1,1.0,2.0,12,6,0,12.0,6.0,0.0,250801234848124001
너무귀여움,0,0,1,11,11,0,1,0.0,1.0,11,11,0,11.0,11.0,0.0,250801234848124001
단꿀,0,0,1,6,11,3,1,0.0,0.8181818181818182,6,11,3,6.0,11.0,3.0,250801234848124001
미소뀨,1,0,0,3,10,8,1,1.0,1.1,3,10,8,3.0,10.0,8.0,250801234848124001
예슬,1,0,0,18,8,1,1,1.0,2.375,18,8,1,18.0,8.0,1.0,250801234848124001
우떼,0,0,1,15,9,1,1,0.0,1.7777777777777777,15,9,1,15.0,9.0,1.0,250801234848124001
정또지,0,0,1,3,12,3,1,0.0,0.5,3,12,3,3.0,12.0,3.0,250801234848124001
카이조,1,0,0,10,11,3,1,1.0,1.181818181818182,10,11,3,10.0,11.0,3.0,250801234848124001
BeagIe,0,0,1,4,5,1,1,0.0,1.0,4,5,1,4.0,5.0,1.0,250720225729124002
LuSeo,0,0,1,3,6,1,1,0.0,0.6666666666666666,3,6,1,3.0,6.0,1.0,250720225729124002
bIuerain,1,0,0,7,4,1,1,1.0,2.0,7,4,1,7.0,4.0,1.0,250720225729124002
bentori,1,0,0,10,2,0,1,1.0,5.0,10,2,0,10.0,2.0,0.0,250720225729124002
꼭디,1,0,0,3,5,3,1,1.0,1.2,3,5,3,3.0,5.0,3.0,250720225729124002
오또시ㅋ,1,0,0,7,4,2,1,1.0,2.25,7,4,2,7.0,4.0,2.0,250720225729124002
임상아,0,0,1,4,6,2,1,0.0,1.0,4,6,2,4.0,6.0,2.0,250720225729124002
주빈,1,0,0,4,6,4,1,1.0,1.3333333333333333,4,6,4,4.0,6.0,4.0,250720225729124002
천재,1,0,0,4,4,1,1,1.0,1.25,4,4,1,4.0,4.0,1.0,250720225729124002
살짝블랙스완,1,0,0,9,9,4,1,1.0,1.4444444444444444,9,9,4,9.0,9.0,4.0,250428041105124001
살짝테크,1,0,0,14,8,1,1,1.0,1.875,14,8,1,14.0,8.0,1.0,250428041105124001
살짝홀릭,1,0,0,9,10,2,1,1.0,1.1,9,10,2,9.0,10.0,2.0,250428041105124001
살짝흐림,1,0,0,11,9,5,1,1.0,1.7777777777777777,11,9,5,11.0,9.0,5.0,250428041105124001
깽히,1,0,0,19,9,1,1,1.0,2.2222222222222223,19,9,1,19.0,9.0,1.0,250405000928124001
남한산호랭이,1,0,0,12,12,2,1,1.0,1.1666666666666667,12,12,2,12.0,12.0,2.0,250405000928124001
빠툐,0,0,1,11,13,4,1,0.0,1.1538461538461535,11,13,4,11.0,13.0,4.0,250405000928124001
사랑.Dc,0,0,1,9,12,1,1,0.0,0.8333333333333334,9,12,1,9.0,12.0,1.0,250405000928124001
에스,1,0,0,5,11,2,1,1.0,0.6363636363636364,5,11,2,5.0,11.0,2.0,250405000928124001
KiHyun,0,0,1,11,7,0,1,0.0,1.5714285714285714,11,7,0,11.0,7.0,0.0,250806225241119001
녹화,0,0,1,2,6,1,1,0.0,0.5,2,6,1,2.0,6.0,1.0,250806225241119001
민감도적응중,1,0,0,5,6,5,1,1.0,1.6666666666666667,5,6,5,5.0,6.0,5.0,250806225241119001
성이님,1,0,0,5,4,5,1,1.0,2.5,5,4,5,5.0,4.0,5.0,250806225241119001
쌈밥,1,0,0,3,6,3,1,1.0,1.0,3,6,3,3.0,6.0,3.0,250806225241119001
정밍,1,0,0,9,5,1,1,1.0,2.0,9,5,1,9.0,5.0,1.0,250806225241119001
조건,1,0,0,7,3,0,1,1.0,2.333333333333333,7,3,0,7.0,3.0,0.0,250806225241119001
최민소,1,0,0,10,4,0,1,1.0,2.5,10,4,0,10.0,4.0,0.0,250806225241119001
30대무빙,1,0,0,18,7,0,1,1.0,2.571428571428572,18,7,0,18.0,7.0,0.0,250806205115124001
멋웅,1,0,0,5,8,0,1,1.0,0.625,5,8,0,5.0,8.0,0.0,250806205115124001
문백이ub,0,0,1,9,8,0,1,0.0,1.125,9,8,0,9.0,8.0,0.0,250806205115124001
박사장시종,0,0,1,10,7,4,1,0.0,2.0,10,7,4,10.0,7.0,4.0,250806205115124001
버블리유,0,0,1,13,10,0,1,0.0,1.3,13,10,0,13.0,10.0,0.0,250806205115124001
유나봉,1,0,0,11,9,1,1,1.0,1.3333333333333333,11,9,1,11.0,9.0,1.0,250806205115124001
윤민영내장지방11,0,0,1,3,11,4,1,0.0,0.6363636363636364,3,11,4,3.0,11.0,4.0,250806205115124001
음주냥이,1,0,0,2,11,3,1,1.0,0.4545454545454545,2,11,3,2.0,11.0,3.0,250806205115124001
:.Gr◇◈▽Ε''..,0,0,1,16,13,3,1,0.0,1.4615384615384617,16,13,3,16.0,13.0,3.0,250807120129124001
박상키,1,0,0,15,10,0,1,1.0,1.5,15,10,0,15.0,10.0,0.0,250807120129124001
보물,1,0,0,14,10,5,1,1.0,1.9,14,10,5,14.0,10.0,5.0,250807120129124001
와진짜개별로,0,0,1,11,12,5,1,0.0,1.3333333333333333,11,12,5,11.0,12.0,5.0,250807120129124001
이도철입니다,1,0,0,15,11,1,1,1.0,1.4545454545454546,15,11,1,15.0,11.0,1.0,250807120129124001
총알받이♪,0,0,1,13,11,6,1,0.0,1.7272727272727273,13,11,6,13.0,11.0,6.0,250807120129124001
캐나다메이플,1,0,0,6,13,9,1,1.0,1.1538461538461535,6,13,9,6.0,13.0,9.0,250807120129124001
흐안차은우,0,0,1,4,14,2,1,0.0,0.4285714285714285,4,14,2,4.0,14.0,2.0,250807120129124001
Xeiya,1,0,0,19,10,2,1,1.0,2.1,19,10,2,19.0,10.0,2.0,250806230547124002
hayoung,1,0,0,10,12,3,1,1.0,1.0833333333333333,10,12,3,10.0,12.0,3.0,250806230547124002
데들리,1,0,0,12,11,7,1,1.0,1.7272727272727273,12,11,7,12.0,11.0,7.0,250806230547124002
말랑말랑콩,1,0,0,6,13,7,1,1.0,1.0,6,13,7,6.0,13.0,7.0,250806230547124002
최석진,1,0,0,14,8,2,1,1.0,2.0,14,8,2,14.0,8.0,2.0,250806230547124002
핵키,1,0,0,13,9,4,1,1.0,1.8888888888888888,13,9,4,13.0,9.0,4.0,250806230547124002
【NickName】,0,0,1,7,10,3,1,0.0,1.0,7,10,3,7.0,10.0,3.0,250806203422124003
김휜둥,1,0,0,9,9,3,1,1.0,1.3333333333333333,9,9,3,9.0,9.0,3.0,250806203422124003
나현아잘하자,0,0,1,9,10,3,1,0.0,1.2,9,10,3,9.0,10.0,3.0,250806203422124003
만취남^^;,1,0,0,11,10,2,1,1.0,1.3,11,10,2,11.0,10.0,2.0,250806203422124003
삼백,0,0,1,10,13,5,1,0.0,1.1538461538461535,10,13,5,10.0,13.0,5.0,250806203422124003
세금계산서,1,0,0,12,5,2,1,1.0,2.8,12,5,2,12.0,5.0,2.0,250806203422124003
운명2,1,0,0,12,10,2,1,1.0,1.4,12,10,2,12.0,10.0,2.0,250806203422124003
종우야잘하자,0,0,1,11,11,1,1,0.0,1.0909090909090908,11,11,1,11.0,11.0,1.0,250806203422124003
마루'^',1,0,0,12,6,0,1,1.0,2.0,12,6,0,12.0,6.0,0.0,250806234605124003
명화의쇠파이프,1,0,0,9,6,1,1,1.0,1.6666666666666667,9,6,1,9.0,6.0,1.0,250806234605124003
에보1위얀느,1,0,0,10,5,1,1,1.0,2.2,10,5,1,10.0,5.0,1.0,250806234605124003
잉잉,1,0,0,4,5,6,1,1.0,2.0,4,5,6,4.0,5.0,6.0,250806234605124003
Gonzο,0,0,1,8,10,4,1,0.0,1.2,8,10,4,8.0,10.0,4.0,250317145752124001
[r].Rako,1,0,0,8,8,1,1,1.0,1.125,8,8,1,8.0,8.0,1.0,250317145752124001
megadarkpet,1,0,0,11,7,7,1,1.0,2.571428571428572,11,7,7,11.0,7.0,7.0,250317145752124001
근드르즈므르,0,0,1,9,11,1,1,0.0,0.9090909090909092,9,11,1,9.0,11.0,1.0,250317145752124001
리콜식,1,0,0,8,9,8,1,1.0,1.7777777777777777,8,9,8,8.0,9.0,8.0,250317145752124001
무얼먹을까?,0,0,1,10,10,3,1,0.0,1.3,10,10,3,10.0,10.0,3.0,250317145752124001
새싹반히융님,0,0,1,9,11,0,1,0.0,0.8181818181818182,9,11,0,9.0,11.0,0.0,250317145752124001
어뢰탄,1,0,0,15,8,3,1,1.0,2.25,15,8,3,15.0,8.0,3.0,250317145752124001
완스,1,0,0,10,8,3,1,1.0,1.625,10,8,3,10.0,8.0,3.0,250317145752124001
흡성대법,0,0,1,6,11,5,1,0.0,1.0,6,11,5,6.0,11.0,5.0,250317145752124001
YUNSEUL,1,0,0,14,12,6,1,1.0,1.6666666666666667,14,12,6,14.0,12.0,6.0,250806003314124001
byedaybye,1,0,0,14,13,6,1,1.0,1.5384615384615383,14,13,6,14.0,13.0,6.0,250806003314124001
