mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.16364426612854005,0.005588455277792261,0.009916877746582032,0.0007316780007049296,,sqrt,1,2,150,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 150}",0.6829268292682927,0.72,0.7441860465116279,0.7346938775510204,0.7692307692307693,0.730207504512342,0.028558703642340515,37,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.2092808246612549,0.0060075441533669555,0.01201934814453125,0.001143818001242293,,sqrt,1,2,200,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.6842105263157895,0.7058823529411765,0.7272727272727273,0.7346938775510204,0.7692307692307693,0.7242580506622966,0.028572751517409005,67,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.2554112434387207,0.0038559897301575874,0.01463003158569336,0.0001989759472753736,,sqrt,1,2,250,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 250}",0.65,0.7307692307692307,0.7272727272727273,0.7346938775510204,0.7307692307692307,0.7147010132724418,0.032435656184191974,108,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.1512890338897705,0.0032847355395190887,0.009518766403198242,0.0007068903101397531,,sqrt,1,5,150,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 150}",0.6666666666666666,0.72,0.7272727272727273,0.7346938775510204,0.7169811320754716,0.7131228807131772,0.024024515641452995,110,1.0,1.0,1.0,0.9942196531791907,1.0,0.9988439306358382,0.0023121387283237204
0.20657496452331542,0.00724535854515022,0.012438583374023437,0.00037830216059505484,,sqrt,1,5,200,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.631578947368421,0.72,0.7272727272727273,0.6938775510204082,0.7407407407407407,0.7026939932804595,0.03869430561398412,120,0.9942196531791907,1.0,0.9942857142857143,0.9942196531791907,1.0,0.9965450041288191,0.0028210954472610785
0.26003236770629884,0.007344279056355887,0.014629697799682618,0.0007336789292394008,,sqrt,1,5,250,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 250}",0.717948717948718,0.7346938775510204,0.7272727272727273,0.7346938775510204,0.7450980392156863,0.7319414479078346,0.009009340450894864,32,0.9942196531791907,1.0,1.0,0.9942196531791907,1.0,0.9976878612716764,0.002831780049460347
0.15637083053588868,0.00261386005453316,0.010021591186523437,6.370016178911887e-06,,sqrt,2,2,150,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 150}",0.717948717948718,0.7755102040816326,0.7272727272727273,0.7346938775510204,0.7547169811320755,0.7420285015972347,0.020656173317118946,5,0.9883720930232558,0.9662921348314607,0.9942857142857143,0.9885057471264368,1.0,0.9874911378533735,0.011435393689852772
0.20417318344116211,0.0008393464039450166,0.012435293197631836,0.00037859430814227613,,sqrt,2,2,200,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.717948717948718,0.7058823529411765,0.7111111111111111,0.7083333333333334,0.7307692307692307,0.7148089492207139,0.008942935353862905,107,0.9883720930232558,0.9942857142857143,0.9942857142857143,0.9883720930232558,1.0,0.993063122923588,0.004361679628362535
0.25926408767700193,0.007161338052259666,0.01432805061340332,0.00039796043057313026,,sqrt,2,2,250,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 250}",0.7,0.7307692307692307,0.7272727272727273,0.7346938775510204,0.7307692307692307,0.7247010132724417,0.012571854542997038,65,0.9883720930232558,0.9772727272727273,0.9942857142857143,0.9883720930232558,1.0,0.9896605255209906,0.007550824665604772
0.1552119255065918,0.0021162039688869165,0.009421491622924804,0.0004927135212927984,,sqrt,2,5,150,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 150}",0.6666666666666666,0.7450980392156863,0.7272727272727273,0.72,0.7547169811320755,0.7227508828574309,0.030642064471403985,76,0.9826589595375722,0.9717514124293786,0.9886363636363636,0.9826589595375722,0.9883720930232558,0.9828155576328286,0.006119170255610833
0.20634279251098633,0.005130283562858454,0.012232494354248048,0.00040409014603735074,,sqrt,2,5,200,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.7,0.7169811320754716,0.7555555555555555,0.7346938775510204,0.7450980392156863,0.7304657208795468,0.01985686851808989,35,0.9883720930232558,0.9775280898876404,0.9828571428571429,0.9885057471264368,1.0,0.9874526145788952,0.0074700195497848605
