timestamp,user_name,match_id,predict,win_probability
2025-08-08 00:25:17,흑인이싸면깜찍~,250807010514124001,1.0,0.7270793650793651
2025-08-08 00:25:17,단솔S2겸이띠,250807010514124001,1.0,
2025-08-08 00:25:17,허혜미,250807010514124001,1.0,0.6070773809523812
2025-08-08 00:25:17,갱스터,250807010514124001,1.0,0.8514424603174604
2025-08-08 00:25:17,긱스,250807010514124001,1.0,0.8859662698412698
2025-08-08 00:25:17,위티,250807010514124001,1.0,0.8206904761904764
2025-08-08 00:25:17,1엄준식,250805171555124002,1.0,0.449545634920635
2025-08-08 00:25:17,랜딩,250805171555124002,1.0,0.7227301587301588
2025-08-08 00:25:17,이뚠딴,250805171555124002,0.0,0.5704047619047619
2025-08-08 00:25:17,봄겨울가을,250805171555124002,0.0,0.7519246031746032
2025-08-08 00:25:17,황장군이야,250805171555124002,0.0,0.12243650793650795
2025-08-08 00:25:17,lllllllllH,250805171555124002,1.0,
2025-08-08 00:25:17,xxx,250806194844124002,1.0,
2025-08-08 00:25:17,IIIIlIIl☆,250806194844124002,,
2025-08-08 00:25:17,사자,250806194844124002,1.0,0.47919246031746027
2025-08-08 00:25:17,전설,250604230858124001,1.0,0.6976309523809523
2025-08-08 00:25:17,WINGWING,250604230858124001,1.0,
2025-08-08 00:25:17,신치,250604230858124001,1.0,0.7214861111111109
2025-08-08 00:25:17,배,250719011350125001,1.0,
2025-08-08 00:25:17,Faker,250719011350125001,1.0,0.6735555555555554
2025-08-08 00:25:17,crazy,250719011350125001,1.0,0.5128313492063491
2025-08-08 00:25:17,은아가,250719011350125001,1.0,0.525327380952381
2025-08-08 00:25:17,제트업,250719011350125001,1.0,0.5618750000000001
2025-08-08 00:25:17,isabel♡,250719011350125001,1.0,0.6542757936507936
2025-08-08 00:25:17,luenah,250729025420124001,1.0,
2025-08-08 00:25:17,코코볼,250729025420124001,1.0,0.7395416666666665
2025-08-08 00:25:17,llIllIlIllII,250729025420124001,1.0,
2025-08-08 00:25:17,타루,250527162132124001,1.0,0.8941904761904762
2025-08-08 00:25:17,민지로렐로♥♡,250527162132124001,,
2025-08-08 00:25:17,d'0'do,250527162132124001,,
2025-08-08 00:25:17,레닝이,250527162132124001,1.0,0.5864920634920634
2025-08-08 00:25:17,생수아저씨,250807145617124001,0.0,0.7057162698412698
2025-08-08 00:25:17,가은잉♡,250807145617124001,1.0,0.4647142857142857
2025-08-08 00:25:17,M249Master,250807145617124001,0.0,0.2383630952380952
2025-08-08 00:25:17,SeulYUNA,250807145617124001,1.0,0.5795039682539683
2025-08-08 00:25:17,민덩이달려,250807145617124001,0.0,0.5429861111111112
2025-08-08 00:25:17,핏자국,250807145617124001,1.0,0.5815734126984128
2025-08-08 00:25:17,몸믜,250806185753124001,1.0,0.5053829365079365
2025-08-08 00:25:17,떕떞이,250806185753124001,1.0,0.5755456349206348
2025-08-08 00:25:17,한번해,250806185753124001,1.0,0.621470238095238
2025-08-08 00:25:17,히히,250806174548124001,0.0,0.4144285714285714
2025-08-08 00:25:17,역삼동그깽,250806174548124001,0.0,0.36329166666666657
2025-08-08 00:25:17,엠빠,250806174548124001,1.0,0.4246210317460317
2025-08-08 00:25:17,아포스뜨리,250806174548124001,1.0,0.5079126984126984
2025-08-08 00:25:17,회민,250806174548124001,1.0,0.7062619047619045
2025-08-08 00:25:17,2.14솔향18ST,250806174548124001,0.0,0.7864642857142857
2025-08-08 00:25:17,황숏,250731170558124001,1.0,0.33019841269841266
2025-08-08 00:25:17,반예빈,250731170558124001,1.0,
2025-08-08 00:25:17,띤블리,250731170558124001,,
2025-08-08 00:25:17,them,250731170558124001,1.0,
2025-08-08 00:25:17,olo달랑달랑,250731170558124001,,
2025-08-08 00:25:17,즙같은,250731170558124001,,
2025-08-08 00:25:17,유뭉이,250807163402124001,1.0,0.628498015873016
2025-08-08 00:25:17,그사건,250807163402124001,0.0,0.48888095238095247
2025-08-08 00:25:17,lIlllIlIlIlllI,250807163402124001,1.0,0.7155615079365079
2025-08-08 00:25:17,Jodia,250807163402124001,0.0,0.5319404761904764
2025-08-08 00:25:17,영민,250721122527124001,1.0,0.7287857142857141
2025-08-08 00:25:17,여심폭격기최인후,250721122527124001,0.0,0.22760317460317456
2025-08-08 00:25:17,llllIlllllIIIllI,250721122527124001,1.0,0.4963313492063493
2025-08-08 00:25:17,고구마지단,250721122527124001,0.0,0.3250972222222222
2025-08-08 00:25:17,도룡잉,250807162422124001,0.0,0.16765674603174607
2025-08-08 00:25:17,뽀로로롤,250807162422124001,0.0,0.2264384920634921
2025-08-08 00:25:17,진재훈,250807162422124001,0.0,0.09914880952380954
2025-08-08 00:25:17,민덩이달려,250807162422124001,1.0,0.5429861111111112
2025-08-08 00:25:17,깽나미,250807162422124001,1.0,0.5927301587301589
2025-08-08 00:25:17,생수아저씨,250807162422124001,1.0,0.7057162698412698
2025-08-08 00:25:17,화물연대부산지부,250807163350124002,1.0,0.6504325396825397
2025-08-08 00:25:17,뽀로로롤,250807163350124002,0.0,0.2264384920634921
2025-08-08 00:25:17,진재훈,250807163350124002,0.0,0.09914880952380954
2025-08-08 00:25:17,화물연대인천지부,250807163350124002,1.0,0.7126845238095235
2025-08-08 00:25:17,도룡잉,250807163350124002,0.0,0.16765674603174607
2025-08-08 00:25:17,Ioss,250807163350124002,1.0,
2025-08-08 00:25:17,트럼프,250622023323125001,0.0,0.1908055555555556
2025-08-08 00:25:17,구남동상남자,250622023323125001,1.0,0.5154543650793652
2025-08-08 00:25:17,깜방,250622023323125001,1.0,0.8475376984126984
